,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1077,2020W40
1,Alabama,2020,2,1124,2020W40
2,Alabama,2020,3,1038,2020W40
3,Alabama,2020,4,1053,2020W40
4,Alabama,2020,5,1024,2020W40
5,Alabama,2020,6,1117,2020W40
6,Alabama,2020,7,1093,2020W40
7,Alabama,2020,8,1096,2020W40
8,Alabama,2020,9,1161,2020W40
9,Alabama,2020,10,1053,2020W40
10,Alabama,2020,11,1087,2020W40
11,Alabama,2020,12,1056,2020W40
12,Alabama,2020,13,1071,2020W40
13,Alabama,2020,14,1153,2020W40
14,Alabama,2020,15,1131,2020W40
15,Alabama,2020,16,1139,2020W40
16,Alabama,2020,17,1135,2020W40
17,Alabama,2020,18,1146,2020W40
18,Alabama,2020,19,1165,2020W40
19,Alabama,2020,20,1142,2020W40
20,Alabama,2020,21,1145,2020W40
21,Alabama,2020,22,1101,2020W40
22,Alabama,2020,23,1162,2020W40
23,Alabama,2020,24,1132,2020W40
24,Alabama,2020,25,1082,2020W40
25,Alabama,2020,26,1138,2020W40
26,Alabama,2020,27,1190,2020W40
27,Alabama,2020,28,1243,2020W40
28,Alabama,2020,29,1271,2020W40
29,Alabama,2020,30,1310,2020W40
30,Alabama,2020,31,1342,2020W40
31,Alabama,2020,32,1337,2020W40
32,Alabama,2020,33,1267,2020W40
33,Alabama,2020,34,1252,2020W40
34,Alabama,2020,35,1162,2020W40
35,Alabama,2020,36,1147,2020W40
36,Alabama,2020,37,1121,2020W40
37,Alabama,2020,38,1033,2020W40
38,Alabama,2020,39,881,2020W40
39,Alabama,2020,40,594,2020W40
40,Alaska,2020,1,89,2020W40
41,Alaska,2020,2,105,2020W40
42,Alaska,2020,3,99,2020W40
43,Alaska,2020,4,97,2020W40
44,Alaska,2020,5,85,2020W40
45,Alaska,2020,6,95,2020W40
46,Alaska,2020,7,89,2020W40
47,Alaska,2020,8,83,2020W40
48,Alaska,2020,9,84,2020W40
49,Alaska,2020,10,79,2020W40
50,Alaska,2020,11,92,2020W40
51,Alaska,2020,12,69,2020W40
52,Alaska,2020,13,86,2020W40
53,Alaska,2020,14,98,2020W40
54,Alaska,2020,15,83,2020W40
55,Alaska,2020,16,80,2020W40
56,Alaska,2020,17,62,2020W40
57,Alaska,2020,18,87,2020W40
58,Alaska,2020,19,89,2020W40
59,Alaska,2020,20,83,2020W40
60,Alaska,2020,21,80,2020W40
61,Alaska,2020,22,97,2020W40
62,Alaska,2020,23,78,2020W40
63,Alaska,2020,24,88,2020W40
64,Alaska,2020,25,89,2020W40
65,Alaska,2020,26,87,2020W40
66,Alaska,2020,27,82,2020W40
67,Alaska,2020,28,99,2020W40
68,Alaska,2020,29,86,2020W40
69,Alaska,2020,30,87,2020W40
70,Alaska,2020,31,108,2020W40
71,Alaska,2020,32,95,2020W40
72,Alaska,2020,33,68,2020W40
73,Alaska,2020,34,99,2020W40
74,Alaska,2020,35,74,2020W40
75,Alaska,2020,36,80,2020W40
76,Alaska,2020,37,61,2020W40
77,Alaska,2020,38,62,2020W40
78,Alaska,2020,39,47,2020W40
79,Alaska,2020,40,20,2020W40
80,Arizona,2020,1,1299,2020W40
81,Arizona,2020,2,1389,2020W40
82,Arizona,2020,3,1315,2020W40
83,Arizona,2020,4,1275,2020W40
84,Arizona,2020,5,1265,2020W40
85,Arizona,2020,6,1263,2020W40
86,Arizona,2020,7,1311,2020W40
87,Arizona,2020,8,1341,2020W40
88,Arizona,2020,9,1352,2020W40
89,Arizona,2020,10,1379,2020W40
90,Arizona,2020,11,1349,2020W40
91,Arizona,2020,12,1290,2020W40
92,Arizona,2020,13,1323,2020W40
93,Arizona,2020,14,1356,2020W40
94,Arizona,2020,15,1403,2020W40
95,Arizona,2020,16,1316,2020W40
96,Arizona,2020,17,1383,2020W40
97,Arizona,2020,18,1398,2020W40
98,Arizona,2020,19,1427,2020W40
99,Arizona,2020,20,1305,2020W40
100,Arizona,2020,21,1289,2020W40
101,Arizona,2020,22,1310,2020W40
102,Arizona,2020,23,1398,2020W40
103,Arizona,2020,24,1462,2020W40
104,Arizona,2020,25,1546,2020W40
105,Arizona,2020,26,1614,2020W40
106,Arizona,2020,27,1772,2020W40
107,Arizona,2020,28,1949,2020W40
108,Arizona,2020,29,1984,2020W40
109,Arizona,2020,30,1847,2020W40
110,Arizona,2020,31,1785,2020W40
111,Arizona,2020,32,1579,2020W40
112,Arizona,2020,33,1517,2020W40
113,Arizona,2020,34,1489,2020W40
114,Arizona,2020,35,1442,2020W40
115,Arizona,2020,36,1272,2020W40
116,Arizona,2020,37,1252,2020W40
117,Arizona,2020,38,1222,2020W40
118,Arizona,2020,39,1193,2020W40
119,Arizona,2020,40,943,2020W40
120,Arkansas,2020,1,672,2020W40
121,Arkansas,2020,2,685,2020W40
122,Arkansas,2020,3,658,2020W40
123,Arkansas,2020,4,616,2020W40
124,Arkansas,2020,5,681,2020W40
125,Arkansas,2020,6,672,2020W40
126,Arkansas,2020,7,688,2020W40
127,Arkansas,2020,8,695,2020W40
128,Arkansas,2020,9,656,2020W40
129,Arkansas,2020,10,696,2020W40
130,Arkansas,2020,11,628,2020W40
131,Arkansas,2020,12,636,2020W40
132,Arkansas,2020,13,640,2020W40
133,Arkansas,2020,14,606,2020W40
134,Arkansas,2020,15,635,2020W40
135,Arkansas,2020,16,637,2020W40
136,Arkansas,2020,17,614,2020W40
137,Arkansas,2020,18,630,2020W40
138,Arkansas,2020,19,661,2020W40
139,Arkansas,2020,20,582,2020W40
140,Arkansas,2020,21,642,2020W40
141,Arkansas,2020,22,610,2020W40
142,Arkansas,2020,23,647,2020W40
143,Arkansas,2020,24,651,2020W40
144,Arkansas,2020,25,704,2020W40
145,Arkansas,2020,26,663,2020W40
146,Arkansas,2020,27,685,2020W40
147,Arkansas,2020,28,659,2020W40
148,Arkansas,2020,29,694,2020W40
149,Arkansas,2020,30,710,2020W40
150,Arkansas,2020,31,738,2020W40
151,Arkansas,2020,32,727,2020W40
152,Arkansas,2020,33,759,2020W40
153,Arkansas,2020,34,735,2020W40
154,Arkansas,2020,35,726,2020W40
155,Arkansas,2020,36,699,2020W40
156,Arkansas,2020,37,704,2020W40
157,Arkansas,2020,38,700,2020W40
158,Arkansas,2020,39,672,2020W40
159,Arkansas,2020,40,561,2020W40
160,California,2020,1,5887,2020W40
161,California,2020,2,5871,2020W40
162,California,2020,3,5828,2020W40
163,California,2020,4,5827,2020W40
164,California,2020,5,5682,2020W40
165,California,2020,6,5912,2020W40
166,California,2020,7,5584,2020W40
167,California,2020,8,5796,2020W40
168,California,2020,9,5679,2020W40
169,California,2020,10,5731,2020W40
170,California,2020,11,5461,2020W40
171,California,2020,12,5677,2020W40
172,California,2020,13,5687,2020W40
173,California,2020,14,5979,2020W40
174,California,2020,15,6043,2020W40
175,California,2020,16,6127,2020W40
176,California,2020,17,5933,2020W40
177,California,2020,18,5738,2020W40
178,California,2020,19,5664,2020W40
179,California,2020,20,5681,2020W40
180,California,2020,21,5526,2020W40
181,California,2020,22,5584,2020W40
182,California,2020,23,5506,2020W40
183,California,2020,24,5551,2020W40
184,California,2020,25,5473,2020W40
185,California,2020,26,5679,2020W40
186,California,2020,27,5874,2020W40
187,California,2020,28,6011,2020W40
188,California,2020,29,6200,2020W40
189,California,2020,30,6214,2020W40
190,California,2020,31,6301,2020W40
191,California,2020,32,6263,2020W40
192,California,2020,33,6238,2020W40
193,California,2020,34,6409,2020W40
194,California,2020,35,5814,2020W40
195,California,2020,36,5672,2020W40
196,California,2020,37,5729,2020W40
197,California,2020,38,5486,2020W40
198,California,2020,39,4895,2020W40
199,California,2020,40,3845,2020W40
200,Colorado,2020,1,854,2020W40
201,Colorado,2020,2,872,2020W40
202,Colorado,2020,3,848,2020W40
203,Colorado,2020,4,852,2020W40
204,Colorado,2020,5,792,2020W40
205,Colorado,2020,6,846,2020W40
206,Colorado,2020,7,807,2020W40
207,Colorado,2020,8,880,2020W40
208,Colorado,2020,9,842,2020W40
209,Colorado,2020,10,821,2020W40
210,Colorado,2020,11,822,2020W40
211,Colorado,2020,12,890,2020W40
212,Colorado,2020,13,859,2020W40
213,Colorado,2020,14,967,2020W40
214,Colorado,2020,15,1096,2020W40
215,Colorado,2020,16,1105,2020W40
216,Colorado,2020,17,1066,2020W40
217,Colorado,2020,18,997,2020W40
218,Colorado,2020,19,905,2020W40
219,Colorado,2020,20,883,2020W40
220,Colorado,2020,21,847,2020W40
221,Colorado,2020,22,833,2020W40
222,Colorado,2020,23,820,2020W40
223,Colorado,2020,24,812,2020W40
224,Colorado,2020,25,859,2020W40
225,Colorado,2020,26,876,2020W40
226,Colorado,2020,27,784,2020W40
227,Colorado,2020,28,814,2020W40
228,Colorado,2020,29,808,2020W40
229,Colorado,2020,30,832,2020W40
230,Colorado,2020,31,807,2020W40
231,Colorado,2020,32,837,2020W40
232,Colorado,2020,33,827,2020W40
233,Colorado,2020,34,857,2020W40
234,Colorado,2020,35,811,2020W40
235,Colorado,2020,36,735,2020W40
236,Colorado,2020,37,832,2020W40
237,Colorado,2020,38,788,2020W40
238,Colorado,2020,39,802,2020W40
239,Colorado,2020,40,609,2020W40
240,Connecticut,2020,1,632,2020W40
241,Connecticut,2020,2,629,2020W40
242,Connecticut,2020,3,639,2020W40
243,Connecticut,2020,4,652,2020W40
244,Connecticut,2020,5,680,2020W40
245,Connecticut,2020,6,647,2020W40
246,Connecticut,2020,7,632,2020W40
247,Connecticut,2020,8,647,2020W40
248,Connecticut,2020,9,632,2020W40
249,Connecticut,2020,10,621,2020W40
250,Connecticut,2020,11,626,2020W40
251,Connecticut,2020,12,660,2020W40
252,Connecticut,2020,13,736,2020W40
253,Connecticut,2020,14,871,2020W40
254,Connecticut,2020,15,1249,2020W40
255,Connecticut,2020,16,1376,2020W40
256,Connecticut,2020,17,1328,2020W40
257,Connecticut,2020,18,1162,2020W40
258,Connecticut,2020,19,1047,2020W40
259,Connecticut,2020,20,944,2020W40
260,Connecticut,2020,21,813,2020W40
261,Connecticut,2020,22,748,2020W40
262,Connecticut,2020,23,658,2020W40
263,Connecticut,2020,24,625,2020W40
264,Connecticut,2020,25,571,2020W40
265,Connecticut,2020,26,589,2020W40
266,Connecticut,2020,27,540,2020W40
267,Connecticut,2020,28,602,2020W40
268,Connecticut,2020,29,558,2020W40
269,Connecticut,2020,30,573,2020W40
270,Connecticut,2020,31,530,2020W40
271,Connecticut,2020,32,552,2020W40
272,Connecticut,2020,33,536,2020W40
273,Connecticut,2020,34,521,2020W40
274,Connecticut,2020,35,486,2020W40
275,Connecticut,2020,36,370,2020W40
276,Connecticut,2020,37,265,2020W40
277,Connecticut,2020,38,72,2020W40
278,Connecticut,2020,39,,2020W40
279,Connecticut,2020,40,,2020W40
280,Delaware,2020,1,199,2020W40
281,Delaware,2020,2,193,2020W40
282,Delaware,2020,3,190,2020W40
283,Delaware,2020,4,190,2020W40
284,Delaware,2020,5,183,2020W40
285,Delaware,2020,6,191,2020W40
286,Delaware,2020,7,202,2020W40
287,Delaware,2020,8,193,2020W40
288,Delaware,2020,9,164,2020W40
289,Delaware,2020,10,200,2020W40
290,Delaware,2020,11,189,2020W40
291,Delaware,2020,12,221,2020W40
292,Delaware,2020,13,188,2020W40
293,Delaware,2020,14,214,2020W40
294,Delaware,2020,15,219,2020W40
295,Delaware,2020,16,227,2020W40
296,Delaware,2020,17,285,2020W40
297,Delaware,2020,18,250,2020W40
298,Delaware,2020,19,269,2020W40
299,Delaware,2020,20,276,2020W40
300,Delaware,2020,21,221,2020W40
301,Delaware,2020,22,226,2020W40
302,Delaware,2020,23,180,2020W40
303,Delaware,2020,24,199,2020W40
304,Delaware,2020,25,157,2020W40
305,Delaware,2020,26,198,2020W40
306,Delaware,2020,27,200,2020W40
307,Delaware,2020,28,192,2020W40
308,Delaware,2020,29,187,2020W40
309,Delaware,2020,30,198,2020W40
310,Delaware,2020,31,193,2020W40
311,Delaware,2020,32,193,2020W40
312,Delaware,2020,33,180,2020W40
313,Delaware,2020,34,181,2020W40
314,Delaware,2020,35,179,2020W40
315,Delaware,2020,36,181,2020W40
316,Delaware,2020,37,160,2020W40
317,Delaware,2020,38,122,2020W40
318,Delaware,2020,39,134,2020W40
319,Delaware,2020,40,82,2020W40
