,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1081,2020W49
1,Alabama,2020,2,1127,2020W49
2,Alabama,2020,3,1039,2020W49
3,Alabama,2020,4,1053,2020W49
4,Alabama,2020,5,1025,2020W49
5,Alabama,2020,6,1117,2020W49
6,Alabama,2020,7,1094,2020W49
7,Alabama,2020,8,1097,2020W49
8,Alabama,2020,9,1161,2020W49
9,Alabama,2020,10,1053,2020W49
10,Alabama,2020,11,1091,2020W49
11,Alabama,2020,12,1057,2020W49
12,Alabama,2020,13,1072,2020W49
13,Alabama,2020,14,1155,2020W49
14,Alabama,2020,15,1133,2020W49
15,Alabama,2020,16,1143,2020W49
16,Alabama,2020,17,1137,2020W49
17,Alabama,2020,18,1147,2020W49
18,Alabama,2020,19,1168,2020W49
19,Alabama,2020,20,1146,2020W49
20,Alabama,2020,21,1150,2020W49
21,Alabama,2020,22,1105,2020W49
22,Alabama,2020,23,1166,2020W49
23,Alabama,2020,24,1134,2020W49
24,Alabama,2020,25,1087,2020W49
25,Alabama,2020,26,1148,2020W49
26,Alabama,2020,27,1196,2020W49
27,Alabama,2020,28,1253,2020W49
28,Alabama,2020,29,1287,2020W49
29,Alabama,2020,30,1325,2020W49
30,Alabama,2020,31,1356,2020W49
31,Alabama,2020,32,1367,2020W49
32,Alabama,2020,33,1295,2020W49
33,Alabama,2020,34,1289,2020W49
34,Alabama,2020,35,1206,2020W49
35,Alabama,2020,36,1205,2020W49
36,Alabama,2020,37,1223,2020W49
37,Alabama,2020,38,1178,2020W49
38,Alabama,2020,39,1168,2020W49
39,Alabama,2020,40,1082,2020W49
40,Alabama,2020,41,1179,2020W49
41,Alabama,2020,42,1162,2020W49
42,Alabama,2020,43,1113,2020W49
43,Alabama,2020,44,1114,2020W49
44,Alabama,2020,45,1184,2020W49
45,Alabama,2020,46,1153,2020W49
46,Alabama,2020,47,1082,2020W49
47,Alabama,2020,48,973,2020W49
48,Alabama,2020,49,719,2020W49
49,Alaska,2020,1,89,2020W49
50,Alaska,2020,2,105,2020W49
51,Alaska,2020,3,99,2020W49
52,Alaska,2020,4,97,2020W49
53,Alaska,2020,5,85,2020W49
54,Alaska,2020,6,92,2020W49
55,Alaska,2020,7,89,2020W49
56,Alaska,2020,8,83,2020W49
57,Alaska,2020,9,84,2020W49
58,Alaska,2020,10,79,2020W49
59,Alaska,2020,11,92,2020W49
60,Alaska,2020,12,69,2020W49
61,Alaska,2020,13,85,2020W49
62,Alaska,2020,14,98,2020W49
63,Alaska,2020,15,83,2020W49
64,Alaska,2020,16,80,2020W49
65,Alaska,2020,17,61,2020W49
