jurisdiction,number_of_deaths,year,week,last_week
Alabama,1077,2020,1,37
Alabama,1124,2020,2,37
Alabama,1038,2020,3,37
Alabama,1053,2020,4,37
Alabama,1024,2020,5,37
Alabama,1117,2020,6,37
Alabama,1093,2020,7,37
Alabama,1096,2020,8,37
Alabama,1161,2020,9,37
Alabama,1053,2020,10,37
Alabama,1086,2020,11,37
Alabama,1056,2020,12,37
Alabama,1070,2020,13,37
Alabama,1151,2020,14,37
Alabama,1130,2020,15,37
Alabama,1137,2020,16,37
Alabama,1132,2020,17,37
Alabama,1147,2020,18,37
Alabama,1161,2020,19,37
Alabama,1141,2020,20,37
Alabama,1141,2020,21,37
Alabama,1096,2020,22,37
Alabama,1156,2020,23,37
Alabama,1130,2020,24,37
Alabama,1074,2020,25,37
Alabama,1135,2020,26,37
Alabama,1183,2020,27,37
Alabama,1240,2020,28,37
Alabama,1258,2020,29,37
Alabama,1299,2020,30,37
Alabama,1329,2020,31,37
Alabama,1308,2020,32,37
Alabama,1227,2020,33,37
Alabama,1183,2020,34,37
Alabama,1026,2020,35,37
Alabama,929,2020,36,37
Alabama,676,2020,37,37
Alaska,89,2020,1,37
Alaska,105,2020,2,37
Alaska,99,2020,3,37
Alaska,97,2020,4,37
Alaska,85,2020,5,37
Alaska,95,2020,6,37
Alaska,89,2020,7,37
Alaska,83,2020,8,37
Alaska,84,2020,9,37
Alaska,79,2020,10,37
Alaska,92,2020,11,37
Alaska,69,2020,12,37
Alaska,86,2020,13,37
Alaska,98,2020,14,37
Alaska,83,2020,15,37
Alaska,80,2020,16,37
Alaska,62,2020,17,37
Alaska,87,2020,18,37
Alaska,89,2020,19,37
Alaska,82,2020,20,37
Alaska,80,2020,21,37
Alaska,97,2020,22,37
Alaska,77,2020,23,37
Alaska,88,2020,24,37
Alaska,88,2020,25,37
Alaska,86,2020,26,37
Alaska,82,2020,27,37
Alaska,95,2020,28,37
Alaska,83,2020,29,37
Alaska,83,2020,30,37
Alaska,108,2020,31,37
Alaska,92,2020,32,37
Alaska,61,2020,33,37
Alaska,82,2020,34,37
Alaska,64,2020,35,37
Alaska,56,2020,36,37
Alaska,23,2020,37,37
Arizona,1299,2020,1,37
Arizona,1390,2020,2,37
Arizona,1315,2020,3,37
Arizona,1275,2020,4,37
Arizona,1264,2020,5,37
Arizona,1263,2020,6,37
Arizona,1311,2020,7,37
Arizona,1341,2020,8,37
Arizona,1352,2020,9,37
Arizona,1379,2020,10,37
Arizona,1349,2020,11,37
Arizona,1289,2020,12,37
Arizona,1323,2020,13,37
Arizona,1356,2020,14,37
Arizona,1402,2020,15,37
Arizona,1315,2020,16,37
Arizona,1383,2020,17,37
Arizona,1398,2020,18,37
Arizona,1426,2020,19,37
Arizona,1305,2020,20,37
Arizona,1288,2020,21,37
Arizona,1309,2020,22,37
Arizona,1397,2020,23,37
Arizona,1461,2020,24,37
Arizona,1546,2020,25,37
Arizona,1612,2020,26,37
Arizona,1771,2020,27,37
Arizona,1946,2020,28,37
Arizona,1979,2020,29,37
Arizona,1841,2020,30,37
Arizona,1781,2020,31,37
Arizona,1568,2020,32,37
Arizona,1505,2020,33,37
Arizona,1463,2020,34,37
Arizona,1415,2020,35,37
Arizona,1217,2020,36,37
Arizona,1089,2020,37,37
Arkansas,672,2020,1,37
Arkansas,685,2020,2,37
Arkansas,658,2020,3,37
Arkansas,616,2020,4,37
Arkansas,681,2020,5,37
Arkansas,672,2020,6,37
Arkansas,688,2020,7,37
Arkansas,695,2020,8,37
Arkansas,656,2020,9,37
Arkansas,696,2020,10,37
Arkansas,628,2020,11,37
Arkansas,635,2020,12,37
Arkansas,640,2020,13,37
Arkansas,606,2020,14,37
Arkansas,634,2020,15,37
Arkansas,637,2020,16,37
Arkansas,614,2020,17,37
Arkansas,630,2020,18,37
Arkansas,661,2020,19,37
Arkansas,582,2020,20,37
Arkansas,641,2020,21,37
Arkansas,610,2020,22,37
Arkansas,646,2020,23,37
Arkansas,650,2020,24,37
Arkansas,704,2020,25,37
Arkansas,663,2020,26,37
Arkansas,684,2020,27,37
Arkansas,658,2020,28,37
Arkansas,688,2020,29,37
Arkansas,708,2020,30,37
Arkansas,734,2020,31,37
Arkansas,719,2020,32,37
Arkansas,754,2020,33,37
Arkansas,717,2020,34,37
Arkansas,700,2020,35,37
Arkansas,647,2020,36,37
Arkansas,579,2020,37,37
California,5887,2020,1,37
California,5870,2020,2,37
California,5828,2020,3,37
California,5827,2020,4,37
California,5682,2020,5,37
California,5912,2020,6,37
California,5584,2020,7,37
California,5796,2020,8,37
California,5679,2020,9,37
California,5731,2020,10,37
California,5461,2020,11,37
California,5675,2020,12,37
California,5686,2020,13,37
