,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1077,2020W34
1,Alabama,2020,2,1124,2020W34
2,Alabama,2020,3,1038,2020W34
3,Alabama,2020,4,1053,2020W34
4,Alabama,2020,5,1023,2020W34
5,Alabama,2020,6,1115,2020W34
6,Alabama,2020,7,1091,2020W34
7,Alabama,2020,8,1095,2020W34
8,Alabama,2020,9,1159,2020W34
9,Alabama,2020,10,1053,2020W34
10,Alabama,2020,11,1084,2020W34
11,Alabama,2020,12,1055,2020W34
12,Alabama,2020,13,1069,2020W34
13,Alabama,2020,14,1150,2020W34
14,Alabama,2020,15,1130,2020W34
15,Alabama,2020,16,1135,2020W34
16,Alabama,2020,17,1131,2020W34
17,Alabama,2020,18,1140,2020W34
18,Alabama,2020,19,1159,2020W34
19,Alabama,2020,20,1137,2020W34
20,Alabama,2020,21,1140,2020W34
21,Alabama,2020,22,1092,2020W34
22,Alabama,2020,23,1148,2020W34
23,Alabama,2020,24,1121,2020W34
24,Alabama,2020,25,1070,2020W34
25,Alabama,2020,26,1125,2020W34
26,Alabama,2020,27,1173,2020W34
27,Alabama,2020,28,1223,2020W34
28,Alabama,2020,29,1232,2020W34
29,Alabama,2020,30,1270,2020W34
30,Alabama,2020,31,1271,2020W34
31,Alabama,2020,32,1201,2020W34
32,Alabama,2020,33,1034,2020W34
33,Alabama,2020,34,779,2020W34
34,Alaska,2020,1,89,2020W34
35,Alaska,2020,2,105,2020W34
36,Alaska,2020,3,99,2020W34
37,Alaska,2020,4,97,2020W34
38,Alaska,2020,5,85,2020W34
39,Alaska,2020,6,95,2020W34
40,Alaska,2020,7,89,2020W34
41,Alaska,2020,8,83,2020W34
42,Alaska,2020,9,84,2020W34
43,Alaska,2020,10,79,2020W34
44,Alaska,2020,11,92,2020W34
45,Alaska,2020,12,68,2020W34
46,Alaska,2020,13,86,2020W34
47,Alaska,2020,14,98,2020W34
48,Alaska,2020,15,83,2020W34
49,Alaska,2020,16,80,2020W34
50,Alaska,2020,17,61,2020W34
51,Alaska,2020,18,86,2020W34
52,Alaska,2020,19,88,2020W34
53,Alaska,2020,20,82,2020W34
54,Alaska,2020,21,80,2020W34
55,Alaska,2020,22,97,2020W34
56,Alaska,2020,23,76,2020W34
57,Alaska,2020,24,86,2020W34
58,Alaska,2020,25,88,2020W34
59,Alaska,2020,26,86,2020W34
60,Alaska,2020,27,81,2020W34
61,Alaska,2020,28,92,2020W34
62,Alaska,2020,29,75,2020W34
63,Alaska,2020,30,73,2020W34
64,Alaska,2020,31,84,2020W34
65,Alaska,2020,32,75,2020W34
66,Alaska,2020,33,41,2020W34
67,Alaska,2020,34,43,2020W34
68,Arizona,2020,1,1299,2020W34
69,Arizona,2020,2,1390,2020W34
70,Arizona,2020,3,1315,2020W34
71,Arizona,2020,4,1275,2020W34
72,Arizona,2020,5,1265,2020W34
73,Arizona,2020,6,1262,2020W34
74,Arizona,2020,7,1310,2020W34
75,Arizona,2020,8,1339,2020W34
76,Arizona,2020,9,1352,2020W34
77,Arizona,2020,10,1378,2020W34
78,Arizona,2020,11,1349,2020W34
79,Arizona,2020,12,1287,2020W34
80,Arizona,2020,13,1323,2020W34
81,Arizona,2020,14,1355,2020W34
82,Arizona,2020,15,1401,2020W34
83,Arizona,2020,16,1314,2020W34
84,Arizona,2020,17,1383,2020W34
85,Arizona,2020,18,1396,2020W34
86,Arizona,2020,19,1425,2020W34
87,Arizona,2020,20,1305,2020W34
88,Arizona,2020,21,1285,2020W34
89,Arizona,2020,22,1307,2020W34
90,Arizona,2020,23,1397,2020W34
91,Arizona,2020,24,1459,2020W34
92,Arizona,2020,25,1544,2020W34
93,Arizona,2020,26,1608,2020W34
94,Arizona,2020,27,1757,2020W34
95,Arizona,2020,28,1936,2020W34
96,Arizona,2020,29,1960,2020W34
97,Arizona,2020,30,1821,2020W34
98,Arizona,2020,31,1739,2020W34
99,Arizona,2020,32,1522,2020W34
100,Arizona,2020,33,1387,2020W34
101,Arizona,2020,34,1122,2020W34
102,Arkansas,2020,1,672,2020W34
103,Arkansas,2020,2,685,2020W34
104,Arkansas,2020,3,657,2020W34
105,Arkansas,2020,4,616,2020W34
106,Arkansas,2020,5,680,2020W34
107,Arkansas,2020,6,671,2020W34
108,Arkansas,2020,7,688,2020W34
109,Arkansas,2020,8,695,2020W34
110,Arkansas,2020,9,656,2020W34
111,Arkansas,2020,10,696,2020W34
112,Arkansas,2020,11,627,2020W34
113,Arkansas,2020,12,635,2020W34
114,Arkansas,2020,13,640,2020W34
115,Arkansas,2020,14,606,2020W34
116,Arkansas,2020,15,634,2020W34
117,Arkansas,2020,16,635,2020W34
118,Arkansas,2020,17,614,2020W34
119,Arkansas,2020,18,630,2020W34
120,Arkansas,2020,19,660,2020W34
121,Arkansas,2020,20,582,2020W34
122,Arkansas,2020,21,641,2020W34
123,Arkansas,2020,22,610,2020W34
124,Arkansas,2020,23,645,2020W34
125,Arkansas,2020,24,649,2020W34
126,Arkansas,2020,25,701,2020W34
127,Arkansas,2020,26,659,2020W34
128,Arkansas,2020,27,678,2020W34
129,Arkansas,2020,28,655,2020W34
130,Arkansas,2020,29,687,2020W34
131,Arkansas,2020,30,698,2020W34
132,Arkansas,2020,31,710,2020W34
133,Arkansas,2020,32,681,2020W34
134,Arkansas,2020,33,646,2020W34
135,Arkansas,2020,34,459,2020W34
136,California,2020,1,5887,2020W34
137,California,2020,2,5869,2020W34
138,California,2020,3,5827,2020W34
139,California,2020,4,5827,2020W34
140,California,2020,5,5682,2020W34
141,California,2020,6,5910,2020W34
142,California,2020,7,5581,2020W34
143,California,2020,8,5796,2020W34
144,California,2020,9,5678,2020W34
145,California,2020,10,5730,2020W34
146,California,2020,11,5458,2020W34
