jurisdiction,number_of_deaths,year,week,last_week
Alabama,1077,2020,1,38
Alabama,1124,2020,2,38
Alabama,1038,2020,3,38
Alabama,1053,2020,4,38
Alabama,1024,2020,5,38
Alabama,1117,2020,6,38
Alabama,1093,2020,7,38
Alabama,1096,2020,8,38
Alabama,1161,2020,9,38
Alabama,1053,2020,10,38
Alabama,1086,2020,11,38
Alabama,1056,2020,12,38
Alabama,1070,2020,13,38
Alabama,1153,2020,14,38
Alabama,1131,2020,15,38
Alabama,1138,2020,16,38
Alabama,1133,2020,17,38
Alabama,1146,2020,18,38
Alabama,1161,2020,19,38
Alabama,1141,2020,20,38
Alabama,1143,2020,21,38
Alabama,1098,2020,22,38
Alabama,1158,2020,23,38
Alabama,1130,2020,24,38
Alabama,1077,2020,25,38
Alabama,1136,2020,26,38
Alabama,1183,2020,27,38
Alabama,1242,2020,28,38
Alabama,1262,2020,29,38
Alabama,1304,2020,30,38
Alabama,1333,2020,31,38
Alabama,1320,2020,32,38
Alabama,1248,2020,33,38
Alabama,1215,2020,34,38
Alabama,1091,2020,35,38
Alabama,1035,2020,36,38
Alabama,955,2020,37,38
Alabama,701,2020,38,38
Alaska,89,2020,1,38
Alaska,105,2020,2,38
Alaska,99,2020,3,38
Alaska,97,2020,4,38
Alaska,85,2020,5,38
Alaska,95,2020,6,38
Alaska,89,2020,7,38
Alaska,83,2020,8,38
Alaska,84,2020,9,38
Alaska,79,2020,10,38
Alaska,92,2020,11,38
Alaska,69,2020,12,38
Alaska,86,2020,13,38
Alaska,98,2020,14,38
Alaska,83,2020,15,38
Alaska,80,2020,16,38
Alaska,62,2020,17,38
Alaska,87,2020,18,38
Alaska,89,2020,19,38
Alaska,82,2020,20,38
Alaska,80,2020,21,38
Alaska,97,2020,22,38
Alaska,77,2020,23,38
Alaska,88,2020,24,38
Alaska,88,2020,25,38
Alaska,86,2020,26,38
Alaska,82,2020,27,38
Alaska,96,2020,28,38
Alaska,85,2020,29,38
Alaska,84,2020,30,38
Alaska,108,2020,31,38
Alaska,93,2020,32,38
Alaska,62,2020,33,38
Alaska,86,2020,34,38
Alaska,71,2020,35,38
