,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1081,2020W53
1,Alabama,2020,2,1127,2020W53
2,Alabama,2020,3,1039,2020W53
3,Alabama,2020,4,1054,2020W53
4,Alabama,2020,5,1026,2020W53
5,Alabama,2020,6,1119,2020W53
6,Alabama,2020,7,1094,2020W53
7,Alabama,2020,8,1097,2020W53
8,Alabama,2020,9,1161,2020W53
9,Alabama,2020,10,1053,2020W53
10,Alabama,2020,11,1091,2020W53
11,Alabama,2020,12,1057,2020W53
12,Alabama,2020,13,1072,2020W53
13,Alabama,2020,14,1156,2020W53
14,Alabama,2020,15,1134,2020W53
15,Alabama,2020,16,1143,2020W53
16,Alabama,2020,17,1137,2020W53
17,Alabama,2020,18,1147,2020W53
18,Alabama,2020,19,1168,2020W53
19,Alabama,2020,20,1146,2020W53
20,Alabama,2020,21,1151,2020W53
21,Alabama,2020,22,1105,2020W53
22,Alabama,2020,23,1169,2020W53
23,Alabama,2020,24,1134,2020W53
24,Alabama,2020,25,1087,2020W53
25,Alabama,2020,26,1148,2020W53
26,Alabama,2020,27,1196,2020W53
27,Alabama,2020,28,1256,2020W53
28,Alabama,2020,29,1288,2020W53
29,Alabama,2020,30,1326,2020W53
30,Alabama,2020,31,1358,2020W53
31,Alabama,2020,32,1368,2020W53
32,Alabama,2020,33,1299,2020W53
33,Alabama,2020,34,1291,2020W53
34,Alabama,2020,35,1213,2020W53
35,Alabama,2020,36,1206,2020W53
36,Alabama,2020,37,1230,2020W53
37,Alabama,2020,38,1185,2020W53
38,Alabama,2020,39,1177,2020W53
39,Alabama,2020,40,1088,2020W53
40,Alabama,2020,41,1185,2020W53
41,Alabama,2020,42,1173,2020W53
42,Alabama,2020,43,1123,2020W53
43,Alabama,2020,44,1142,2020W53
44,Alabama,2020,45,1233,2020W53
45,Alabama,2020,46,1232,2020W53
46,Alabama,2020,47,1216,2020W53
47,Alabama,2020,48,1237,2020W53
48,Alabama,2020,49,1212,2020W53
49,Alabama,2020,50,1359,2020W53
50,Alabama,2020,51,1099,2020W53
51,Alabama,2020,52,810,2020W53
52,Alabama,2020,53,668,2020W53
53,Alaska,2020,1,89,2020W53
54,Alaska,2020,2,105,2020W53
55,Alaska,2020,3,99,2020W53
56,Alaska,2020,4,97,2020W53
57,Alaska,2020,5,85,2020W53
58,Alaska,2020,6,92,2020W53
59,Alaska,2020,7,89,2020W53
60,Alaska,2020,8,83,2020W53
61,Alaska,2020,9,84,2020W53
62,Alaska,2020,10,79,2020W53
63,Alaska,2020,11,92,2020W53
64,Alaska,2020,12,69,2020W53
65,Alaska,2020,13,85,2020W53
66,Alaska,2020,14,98,2020W53
67,Alaska,2020,15,84,2020W53
68,Alaska,2020,16,80,2020W53
69,Alaska,2020,17,61,2020W53
70,Alaska,2020,18,87,2020W53
71,Alaska,2020,19,89,2020W53
72,Alaska,2020,20,83,2020W53
73,Alaska,2020,21,82,2020W53
74,Alaska,2020,22,97,2020W53
75,Alaska,2020,23,78,2020W53
76,Alaska,2020,24,88,2020W53
77,Alaska,2020,25,92,2020W53
78,Alaska,2020,26,88,2020W53
79,Alaska,2020,27,84,2020W53
80,Alaska,2020,28,100,2020W53
81,Alaska,2020,29,88,2020W53
82,Alaska,2020,30,92,2020W53
83,Alaska,2020,31,112,2020W53
84,Alaska,2020,32,101,2020W53
85,Alaska,2020,33,74,2020W53
86,Alaska,2020,34,114,2020W53
87,Alaska,2020,35,93,2020W53
88,Alaska,2020,36,104,2020W53
89,Alaska,2020,37,87,2020W53
90,Alaska,2020,38,103,2020W53
91,Alaska,2020,39,111,2020W53
92,Alaska,2020,40,73,2020W53
93,Alaska,2020,41,110,2020W53
94,Alaska,2020,42,98,2020W53
95,Alaska,2020,43,99,2020W53
96,Alaska,2020,44,103,2020W53
97,Alaska,2020,45,97,2020W53
98,Alaska,2020,46,88,2020W53
99,Alaska,2020,47,98,2020W53
100,Alaska,2020,48,92,2020W53
101,Alaska,2020,49,75,2020W53
102,Alaska,2020,50,76,2020W53
103,Alaska,2020,51,38,2020W53
104,Alaska,2020,52,26,2020W53
105,Alaska,2020,53,24,2020W53
106,Arizona,2020,1,1301,2020W53
107,Arizona,2020,2,1390,2020W53
108,Arizona,2020,3,1315,2020W53
109,Arizona,2020,4,1275,2020W53
110,Arizona,2020,5,1265,2020W53
111,Arizona,2020,6,1264,2020W53
112,Arizona,2020,7,1312,2020W53
113,Arizona,2020,8,1342,2020W53
114,Arizona,2020,9,1352,2020W53
115,Arizona,2020,10,1380,2020W53
116,Arizona,2020,11,1349,2020W53
117,Arizona,2020,12,1290,2020W53
118,Arizona,2020,13,1324,2020W53
119,Arizona,2020,14,1356,2020W53
120,Arizona,2020,15,1403,2020W53
121,Arizona,2020,16,1316,2020W53
122,Arizona,2020,17,1384,2020W53
123,Arizona,2020,18,1398,2020W53
124,Arizona,2020,19,1427,2020W53
125,Arizona,2020,20,1306,2020W53
126,Arizona,2020,21,1289,2020W53
127,Arizona,2020,22,1310,2020W53
128,Arizona,2020,23,1399,2020W53
129,Arizona,2020,24,1463,2020W53
130,Arizona,2020,25,1549,2020W53
131,Arizona,2020,26,1616,2020W53
132,Arizona,2020,27,1773,2020W53
133,Arizona,2020,28,1952,2020W53
134,Arizona,2020,29,1993,2020W53
135,Arizona,2020,30,1861,2020W53
136,Arizona,2020,31,1792,2020W53
137,Arizona,2020,32,1585,2020W53
138,Arizona,2020,33,1526,2020W53
139,Arizona,2020,34,1504,2020W53
140,Arizona,2020,35,1465,2020W53
141,Arizona,2020,36,1293,2020W53
142,Arizona,2020,37,1280,2020W53
143,Arizona,2020,38,1258,2020W53
144,Arizona,2020,39,1283,2020W53
145,Arizona,2020,40,1201,2020W53
146,Arizona,2020,41,1238,2020W53
147,Arizona,2020,42,1232,2020W53
148,Arizona,2020,43,1279,2020W53
149,Arizona,2020,44,1305,2020W53
150,Arizona,2020,45,1386,2020W53
151,Arizona,2020,46,1244,2020W53
152,Arizona,2020,47,1510,2020W53
153,Arizona,2020,48,1498,2020W53
154,Arizona,2020,49,1585,2020W53
155,Arizona,2020,50,1700,2020W53
156,Arizona,2020,51,1586,2020W53
157,Arizona,2020,52,1200,2020W53
158,Arizona,2020,53,1063,2020W53
159,Arkansas,2020,1,672,2020W53
160,Arkansas,2020,2,685,2020W53
161,Arkansas,2020,3,658,2020W53
162,Arkansas,2020,4,616,2020W53
163,Arkansas,2020,5,681,2020W53
164,Arkansas,2020,6,673,2020W53
165,Arkansas,2020,7,688,2020W53
166,Arkansas,2020,8,695,2020W53
167,Arkansas,2020,9,656,2020W53
168,Arkansas,2020,10,696,2020W53
169,Arkansas,2020,11,628,2020W53
170,Arkansas,2020,12,637,2020W53
171,Arkansas,2020,13,640,2020W53
172,Arkansas,2020,14,606,2020W53
173,Arkansas,2020,15,636,2020W53
174,Arkansas,2020,16,637,2020W53
175,Arkansas,2020,17,615,2020W53
176,Arkansas,2020,18,630,2020W53
177,Arkansas,2020,19,661,2020W53
178,Arkansas,2020,20,582,2020W53
179,Arkansas,2020,21,642,2020W53
180,Arkansas,2020,22,610,2020W53
181,Arkansas,2020,23,648,2020W53
182,Arkansas,2020,24,651,2020W53
