,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1078,2020W41
1,Alabama,2020,2,1124,2020W41
2,Alabama,2020,3,1039,2020W41
3,Alabama,2020,4,1053,2020W41
4,Alabama,2020,5,1024,2020W41
5,Alabama,2020,6,1117,2020W41
6,Alabama,2020,7,1093,2020W41
7,Alabama,2020,8,1096,2020W41
8,Alabama,2020,9,1161,2020W41
9,Alabama,2020,10,1053,2020W41
10,Alabama,2020,11,1087,2020W41
11,Alabama,2020,12,1057,2020W41
12,Alabama,2020,13,1071,2020W41
13,Alabama,2020,14,1153,2020W41
14,Alabama,2020,15,1132,2020W41
15,Alabama,2020,16,1139,2020W41
16,Alabama,2020,17,1135,2020W41
17,Alabama,2020,18,1146,2020W41
18,Alabama,2020,19,1165,2020W41
19,Alabama,2020,20,1143,2020W41
20,Alabama,2020,21,1146,2020W41
21,Alabama,2020,22,1101,2020W41
22,Alabama,2020,23,1163,2020W41
23,Alabama,2020,24,1132,2020W41
24,Alabama,2020,25,1082,2020W41
25,Alabama,2020,26,1140,2020W41
26,Alabama,2020,27,1192,2020W41
27,Alabama,2020,28,1244,2020W41
28,Alabama,2020,29,1276,2020W41
29,Alabama,2020,30,1316,2020W41
30,Alabama,2020,31,1346,2020W41
31,Alabama,2020,32,1345,2020W41
32,Alabama,2020,33,1272,2020W41
33,Alabama,2020,34,1256,2020W41
34,Alabama,2020,35,1172,2020W41
35,Alabama,2020,36,1164,2020W41
36,Alabama,2020,37,1161,2020W41
37,Alabama,2020,38,1091,2020W41
38,Alabama,2020,39,1010,2020W41
39,Alabama,2020,40,846,2020W41
40,Alabama,2020,41,649,2020W41
41,Alaska,2020,1,89,2020W41
42,Alaska,2020,2,105,2020W41
43,Alaska,2020,3,99,2020W41
44,Alaska,2020,4,97,2020W41
45,Alaska,2020,5,85,2020W41
46,Alaska,2020,6,92,2020W41
47,Alaska,2020,7,89,2020W41
48,Alaska,2020,8,83,2020W41
49,Alaska,2020,9,84,2020W41
50,Alaska,2020,10,79,2020W41
51,Alaska,2020,11,92,2020W41
52,Alaska,2020,12,69,2020W41
53,Alaska,2020,13,85,2020W41
54,Alaska,2020,14,98,2020W41
55,Alaska,2020,15,83,2020W41
56,Alaska,2020,16,80,2020W41
57,Alaska,2020,17,61,2020W41
58,Alaska,2020,18,86,2020W41
59,Alaska,2020,19,89,2020W41
60,Alaska,2020,20,83,2020W41
61,Alaska,2020,21,80,2020W41
62,Alaska,2020,22,97,2020W41
63,Alaska,2020,23,78,2020W41
64,Alaska,2020,24,88,2020W41
65,Alaska,2020,25,90,2020W41
66,Alaska,2020,26,87,2020W41
67,Alaska,2020,27,82,2020W41
68,Alaska,2020,28,99,2020W41
69,Alaska,2020,29,88,2020W41
70,Alaska,2020,30,88,2020W41
71,Alaska,2020,31,111,2020W41
72,Alaska,2020,32,97,2020W41
73,Alaska,2020,33,69,2020W41
74,Alaska,2020,34,106,2020W41
75,Alaska,2020,35,80,2020W41
76,Alaska,2020,36,88,2020W41
77,Alaska,2020,37,63,2020W41
78,Alaska,2020,38,75,2020W41
79,Alaska,2020,39,69,2020W41
80,Alaska,2020,40,36,2020W41
81,Alaska,2020,41,33,2020W41
82,Arizona,2020,1,1299,2020W41
83,Arizona,2020,2,1389,2020W41
84,Arizona,2020,3,1315,2020W41
85,Arizona,2020,4,1275,2020W41
86,Arizona,2020,5,1265,2020W41
87,Arizona,2020,6,1263,2020W41
88,Arizona,2020,7,1311,2020W41
89,Arizona,2020,8,1341,2020W41
90,Arizona,2020,9,1352,2020W41
91,Arizona,2020,10,1380,2020W41
92,Arizona,2020,11,1349,2020W41
93,Arizona,2020,12,1290,2020W41
94,Arizona,2020,13,1323,2020W41
95,Arizona,2020,14,1356,2020W41
96,Arizona,2020,15,1403,2020W41
97,Arizona,2020,16,1316,2020W41
98,Arizona,2020,17,1383,2020W41
99,Arizona,2020,18,1398,2020W41
100,Arizona,2020,19,1427,2020W41
101,Arizona,2020,20,1305,2020W41
102,Arizona,2020,21,1289,2020W41
103,Arizona,2020,22,1310,2020W41
104,Arizona,2020,23,1398,2020W41
