,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1080,2020W43
1,Alabama,2020,2,1124,2020W43
2,Alabama,2020,3,1039,2020W43
3,Alabama,2020,4,1053,2020W43
4,Alabama,2020,5,1024,2020W43
5,Alabama,2020,6,1117,2020W43
6,Alabama,2020,7,1094,2020W43
7,Alabama,2020,8,1096,2020W43
8,Alabama,2020,9,1161,2020W43
9,Alabama,2020,10,1053,2020W43
10,Alabama,2020,11,1088,2020W43
11,Alabama,2020,12,1057,2020W43
12,Alabama,2020,13,1072,2020W43
13,Alabama,2020,14,1153,2020W43
14,Alabama,2020,15,1132,2020W43
15,Alabama,2020,16,1141,2020W43
16,Alabama,2020,17,1136,2020W43
17,Alabama,2020,18,1146,2020W43
18,Alabama,2020,19,1166,2020W43
19,Alabama,2020,20,1145,2020W43
20,Alabama,2020,21,1148,2020W43
21,Alabama,2020,22,1103,2020W43
22,Alabama,2020,23,1165,2020W43
23,Alabama,2020,24,1132,2020W43
24,Alabama,2020,25,1082,2020W43
25,Alabama,2020,26,1143,2020W43
26,Alabama,2020,27,1195,2020W43
27,Alabama,2020,28,1249,2020W43
28,Alabama,2020,29,1279,2020W43
29,Alabama,2020,30,1321,2020W43
30,Alabama,2020,31,1348,2020W43
31,Alabama,2020,32,1353,2020W43
32,Alabama,2020,33,1276,2020W43
33,Alabama,2020,34,1273,2020W43
34,Alabama,2020,35,1188,2020W43
35,Alabama,2020,36,1178,2020W43
36,Alabama,2020,37,1198,2020W43
37,Alabama,2020,38,1140,2020W43
38,Alabama,2020,39,1107,2020W43
39,Alabama,2020,40,1003,2020W43
40,Alabama,2020,41,1028,2020W43
41,Alabama,2020,42,894,2020W43
42,Alabama,2020,43,575,2020W43
43,Alaska,2020,1,89,2020W43
44,Alaska,2020,2,105,2020W43
45,Alaska,2020,3,99,2020W43
46,Alaska,2020,4,97,2020W43
47,Alaska,2020,5,85,2020W43
48,Alaska,2020,6,92,2020W43
49,Alaska,2020,7,89,2020W43
50,Alaska,2020,8,83,2020W43
51,Alaska,2020,9,84,2020W43
52,Alaska,2020,10,79,2020W43
53,Alaska,2020,11,92,2020W43
54,Alaska,2020,12,69,2020W43
55,Alaska,2020,13,85,2020W43
56,Alaska,2020,14,98,2020W43
57,Alaska,2020,15,83,2020W43
58,Alaska,2020,16,80,2020W43
59,Alaska,2020,17,61,2020W43
60,Alaska,2020,18,86,2020W43
61,Alaska,2020,19,89,2020W43
62,Alaska,2020,20,83,2020W43
63,Alaska,2020,21,82,2020W43
64,Alaska,2020,22,97,2020W43
65,Alaska,2020,23,78,2020W43
66,Alaska,2020,24,88,2020W43
67,Alaska,2020,25,91,2020W43
68,Alaska,2020,26,88,2020W43
69,Alaska,2020,27,83,2020W43
70,Alaska,2020,28,100,2020W43
71,Alaska,2020,29,87,2020W43
72,Alaska,2020,30,91,2020W43
73,Alaska,2020,31,112,2020W43
74,Alaska,2020,32,98,2020W43
75,Alaska,2020,33,70,2020W43
76,Alaska,2020,34,108,2020W43
77,Alaska,2020,35,86,2020W43
78,Alaska,2020,36,90,2020W43
79,Alaska,2020,37,69,2020W43
80,Alaska,2020,38,89,2020W43
81,Alaska,2020,39,86,2020W43
82,Alaska,2020,40,51,2020W43
83,Alaska,2020,41,66,2020W43
84,Alaska,2020,42,61,2020W43
85,Alaska,2020,43,23,2020W43
86,Arizona,2020,1,1299,2020W43
87,Arizona,2020,2,1389,2020W43
88,Arizona,2020,3,1315,2020W43
89,Arizona,2020,4,1275,2020W43
90,Arizona,2020,5,1265,2020W43
91,Arizona,2020,6,1263,2020W43
92,Arizona,2020,7,1311,2020W43
93,Arizona,2020,8,1341,2020W43
94,Arizona,2020,9,1352,2020W43
95,Arizona,2020,10,1380,2020W43
96,Arizona,2020,11,1349,2020W43
97,Arizona,2020,12,1290,2020W43
98,Arizona,2020,13,1323,2020W43
99,Arizona,2020,14,1356,2020W43
100,Arizona,2020,15,1403,2020W43
101,Arizona,2020,16,1316,2020W43
102,Arizona,2020,17,1384,2020W43
103,Arizona,2020,18,1398,2020W43
104,Arizona,2020,19,1427,2020W43
105,Arizona,2020,20,1306,2020W43
106,Arizona,2020,21,1289,2020W43
107,Arizona,2020,22,1310,2020W43
108,Arizona,2020,23,1398,2020W43
109,Arizona,2020,24,1463,2020W43
110,Arizona,2020,25,1547,2020W43
111,Arizona,2020,26,1615,2020W43
112,Arizona,2020,27,1773,2020W43
113,Arizona,2020,28,1951,2020W43
114,Arizona,2020,29,1990,2020W43
115,Arizona,2020,30,1856,2020W43
116,Arizona,2020,31,1787,2020W43
117,Arizona,2020,32,1583,2020W43
118,Arizona,2020,33,1524,2020W43
119,Arizona,2020,34,1500,2020W43
120,Arizona,2020,35,1458,2020W43
121,Arizona,2020,36,1284,2020W43
122,Arizona,2020,37,1269,2020W43
123,Arizona,2020,38,1247,2020W43
124,Arizona,2020,39,1269,2020W43
125,Arizona,2020,40,1178,2020W43
126,Arizona,2020,41,1213,2020W43
127,Arizona,2020,42,1154,2020W43
128,Arizona,2020,43,1062,2020W43
129,Arkansas,2020,1,672,2020W43
130,Arkansas,2020,2,685,2020W43
131,Arkansas,2020,3,658,2020W43
132,Arkansas,2020,4,616,2020W43
133,Arkansas,2020,5,681,2020W43
134,Arkansas,2020,6,672,2020W43
135,Arkansas,2020,7,688,2020W43
136,Arkansas,2020,8,695,2020W43
137,Arkansas,2020,9,656,2020W43
138,Arkansas,2020,10,696,2020W43
139,Arkansas,2020,11,628,2020W43
140,Arkansas,2020,12,637,2020W43
141,Arkansas,2020,13,640,2020W43
142,Arkansas,2020,14,606,2020W43
143,Arkansas,2020,15,635,2020W43
144,Arkansas,2020,16,637,2020W43
145,Arkansas,2020,17,614,2020W43
146,Arkansas,2020,18,630,2020W43
147,Arkansas,2020,19,661,2020W43
148,Arkansas,2020,20,582,2020W43
149,Arkansas,2020,21,642,2020W43
150,Arkansas,2020,22,610,2020W43
151,Arkansas,2020,23,647,2020W43
152,Arkansas,2020,24,651,2020W43
153,Arkansas,2020,25,704,2020W43
154,Arkansas,2020,26,663,2020W43
155,Arkansas,2020,27,685,2020W43
156,Arkansas,2020,28,660,2020W43
157,Arkansas,2020,29,694,2020W43
158,Arkansas,2020,30,711,2020W43
159,Arkansas,2020,31,739,2020W43
160,Arkansas,2020,32,731,2020W43
161,Arkansas,2020,33,762,2020W43
162,Arkansas,2020,34,745,2020W43
163,Arkansas,2020,35,736,2020W43
164,Arkansas,2020,36,709,2020W43
165,Arkansas,2020,37,715,2020W43
166,Arkansas,2020,38,724,2020W43
167,Arkansas,2020,39,733,2020W43
168,Arkansas,2020,40,759,2020W43
169,Arkansas,2020,41,741,2020W43
170,Arkansas,2020,42,689,2020W43
171,Arkansas,2020,43,533,2020W43
172,California,2020,1,5887,2020W43
173,California,2020,2,5873,2020W43
174,California,2020,3,5828,2020W43
175,California,2020,4,5827,2020W43
176,California,2020,5,5684,2020W43
177,California,2020,6,5912,2020W43
178,California,2020,7,5584,2020W43
179,California,2020,8,5796,2020W43
180,California,2020,9,5680,2020W43
181,California,2020,10,5732,2020W43
182,California,2020,11,5461,2020W43
183,California,2020,12,5679,2020W43
184,California,2020,13,5686,2020W43
185,California,2020,14,5979,2020W43
186,California,2020,15,6046,2020W43
187,California,2020,16,6127,2020W43
188,California,2020,17,5935,2020W43
189,California,2020,18,5738,2020W43
190,California,2020,19,5666,2020W43
191,California,2020,20,5682,2020W43
192,California,2020,21,5527,2020W43
193,California,2020,22,5587,2020W43
194,California,2020,23,5510,2020W43
195,California,2020,24,5557,2020W43
196,California,2020,25,5478,2020W43
197,California,2020,26,5684,2020W43
198,California,2020,27,5888,2020W43
199,California,2020,28,6019,2020W43
200,California,2020,29,6211,2020W43
201,California,2020,30,6227,2020W43
202,California,2020,31,6313,2020W43
203,California,2020,32,6277,2020W43
204,California,2020,33,6259,2020W43
205,California,2020,34,6446,2020W43
206,California,2020,35,5836,2020W43
207,California,2020,36,5740,2020W43
208,California,2020,37,5827,2020W43
209,California,2020,38,5682,2020W43
210,California,2020,39,5483,2020W43
211,California,2020,40,5538,2020W43
212,California,2020,41,5331,2020W43
213,California,2020,42,5026,2020W43
214,California,2020,43,3606,2020W43
215,Colorado,2020,1,854,2020W43
216,Colorado,2020,2,872,2020W43
217,Colorado,2020,3,848,2020W43
218,Colorado,2020,4,853,2020W43
219,Colorado,2020,5,793,2020W43
220,Colorado,2020,6,846,2020W43
221,Colorado,2020,7,807,2020W43
222,Colorado,2020,8,880,2020W43
223,Colorado,2020,9,842,2020W43
224,Colorado,2020,10,821,2020W43
225,Colorado,2020,11,822,2020W43
226,Colorado,2020,12,890,2020W43
227,Colorado,2020,13,860,2020W43
228,Colorado,2020,14,967,2020W43
229,Colorado,2020,15,1096,2020W43
230,Colorado,2020,16,1105,2020W43
231,Colorado,2020,17,1066,2020W43
232,Colorado,2020,18,997,2020W43
233,Colorado,2020,19,905,2020W43
234,Colorado,2020,20,883,2020W43
235,Colorado,2020,21,847,2020W43
236,Colorado,2020,22,833,2020W43
