,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1081,2020W50
1,Alabama,2020,2,1127,2020W50
2,Alabama,2020,3,1039,2020W50
3,Alabama,2020,4,1053,2020W50
4,Alabama,2020,5,1025,2020W50
5,Alabama,2020,6,1117,2020W50
6,Alabama,2020,7,1094,2020W50
7,Alabama,2020,8,1097,2020W50
8,Alabama,2020,9,1161,2020W50
9,Alabama,2020,10,1053,2020W50
10,Alabama,2020,11,1091,2020W50
11,Alabama,2020,12,1057,2020W50
12,Alabama,2020,13,1072,2020W50
13,Alabama,2020,14,1155,2020W50
14,Alabama,2020,15,1133,2020W50
15,Alabama,2020,16,1143,2020W50
16,Alabama,2020,17,1137,2020W50
17,Alabama,2020,18,1147,2020W50
18,Alabama,2020,19,1168,2020W50
19,Alabama,2020,20,1146,2020W50
20,Alabama,2020,21,1150,2020W50
21,Alabama,2020,22,1105,2020W50
22,Alabama,2020,23,1167,2020W50
23,Alabama,2020,24,1134,2020W50
24,Alabama,2020,25,1087,2020W50
25,Alabama,2020,26,1148,2020W50
26,Alabama,2020,27,1196,2020W50
27,Alabama,2020,28,1254,2020W50
28,Alabama,2020,29,1288,2020W50
29,Alabama,2020,30,1325,2020W50
30,Alabama,2020,31,1357,2020W50
31,Alabama,2020,32,1367,2020W50
32,Alabama,2020,33,1297,2020W50
33,Alabama,2020,34,1289,2020W50
34,Alabama,2020,35,1206,2020W50
35,Alabama,2020,36,1205,2020W50
36,Alabama,2020,37,1224,2020W50
37,Alabama,2020,38,1180,2020W50
38,Alabama,2020,39,1171,2020W50
39,Alabama,2020,40,1084,2020W50
40,Alabama,2020,41,1181,2020W50
41,Alabama,2020,42,1169,2020W50
42,Alabama,2020,43,1115,2020W50
43,Alabama,2020,44,1128,2020W50
44,Alabama,2020,45,1201,2020W50
45,Alabama,2020,46,1192,2020W50
46,Alabama,2020,47,1139,2020W50
47,Alabama,2020,48,1099,2020W50
48,Alabama,2020,49,961,2020W50
49,Alabama,2020,50,748,2020W50
50,Alaska,2020,1,89,2020W50
51,Alaska,2020,2,105,2020W50
52,Alaska,2020,3,99,2020W50
53,Alaska,2020,4,97,2020W50
54,Alaska,2020,5,85,2020W50
55,Alaska,2020,6,92,2020W50
56,Alaska,2020,7,89,2020W50
57,Alaska,2020,8,83,2020W50
58,Alaska,2020,9,84,2020W50
59,Alaska,2020,10,79,2020W50
60,Alaska,2020,11,92,2020W50
61,Alaska,2020,12,69,2020W50
62,Alaska,2020,13,85,2020W50
63,Alaska,2020,14,98,2020W50
64,Alaska,2020,15,83,2020W50
65,Alaska,2020,16,80,2020W50
66,Alaska,2020,17,61,2020W50
67,Alaska,2020,18,87,2020W50
68,Alaska,2020,19,89,2020W50
69,Alaska,2020,20,83,2020W50
70,Alaska,2020,21,82,2020W50
71,Alaska,2020,22,97,2020W50
72,Alaska,2020,23,78,2020W50
73,Alaska,2020,24,88,2020W50
74,Alaska,2020,25,92,2020W50
75,Alaska,2020,26,88,2020W50
76,Alaska,2020,27,84,2020W50
77,Alaska,2020,28,100,2020W50
78,Alaska,2020,29,88,2020W50
79,Alaska,2020,30,92,2020W50
80,Alaska,2020,31,112,2020W50
81,Alaska,2020,32,101,2020W50
82,Alaska,2020,33,74,2020W50
83,Alaska,2020,34,114,2020W50
84,Alaska,2020,35,93,2020W50
85,Alaska,2020,36,104,2020W50
86,Alaska,2020,37,86,2020W50
87,Alaska,2020,38,103,2020W50
88,Alaska,2020,39,110,2020W50
89,Alaska,2020,40,73,2020W50
90,Alaska,2020,41,107,2020W50
91,Alaska,2020,42,93,2020W50
92,Alaska,2020,43,96,2020W50
93,Alaska,2020,44,99,2020W50
94,Alaska,2020,45,90,2020W50
95,Alaska,2020,46,80,2020W50
96,Alaska,2020,47,89,2020W50
97,Alaska,2020,48,76,2020W50
98,Alaska,2020,49,42,2020W50
99,Alaska,2020,50,36,2020W50
100,Arizona,2020,1,1301,2020W50
101,Arizona,2020,2,1390,2020W50
102,Arizona,2020,3,1315,2020W50
103,Arizona,2020,4,1275,2020W50
104,Arizona,2020,5,1265,2020W50
105,Arizona,2020,6,1264,2020W50
106,Arizona,2020,7,1312,2020W50
107,Arizona,2020,8,1342,2020W50
108,Arizona,2020,9,1352,2020W50
109,Arizona,2020,10,1380,2020W50
110,Arizona,2020,11,1349,2020W50
111,Arizona,2020,12,1290,2020W50
112,Arizona,2020,13,1324,2020W50
113,Arizona,2020,14,1356,2020W50
114,Arizona,2020,15,1403,2020W50
115,Arizona,2020,16,1316,2020W50
116,Arizona,2020,17,1384,2020W50
117,Arizona,2020,18,1398,2020W50
118,Arizona,2020,19,1427,2020W50
119,Arizona,2020,20,1306,2020W50
120,Arizona,2020,21,1289,2020W50
121,Arizona,2020,22,1310,2020W50
122,Arizona,2020,23,1399,2020W50
123,Arizona,2020,24,1463,2020W50
124,Arizona,2020,25,1549,2020W50
125,Arizona,2020,26,1616,2020W50
126,Arizona,2020,27,1773,2020W50
127,Arizona,2020,28,1952,2020W50
128,Arizona,2020,29,1993,2020W50
129,Arizona,2020,30,1861,2020W50
130,Arizona,2020,31,1792,2020W50
131,Arizona,2020,32,1584,2020W50
132,Arizona,2020,33,1526,2020W50
133,Arizona,2020,34,1504,2020W50
134,Arizona,2020,35,1464,2020W50
135,Arizona,2020,36,1292,2020W50
136,Arizona,2020,37,1280,2020W50
137,Arizona,2020,38,1257,2020W50
138,Arizona,2020,39,1282,2020W50
139,Arizona,2020,40,1200,2020W50
140,Arizona,2020,41,1237,2020W50
141,Arizona,2020,42,1229,2020W50
142,Arizona,2020,43,1280,2020W50
143,Arizona,2020,44,1304,2020W50
144,Arizona,2020,45,1379,2020W50
145,Arizona,2020,46,1235,2020W50
146,Arizona,2020,47,1482,2020W50
147,Arizona,2020,48,1431,2020W50
148,Arizona,2020,49,1404,2020W50
149,Arizona,2020,50,961,2020W50
150,Arkansas,2020,1,672,2020W50
151,Arkansas,2020,2,685,2020W50
152,Arkansas,2020,3,658,2020W50
153,Arkansas,2020,4,616,2020W50
154,Arkansas,2020,5,681,2020W50
155,Arkansas,2020,6,673,2020W50
156,Arkansas,2020,7,688,2020W50
157,Arkansas,2020,8,695,2020W50
158,Arkansas,2020,9,656,2020W50
159,Arkansas,2020,10,696,2020W50
160,Arkansas,2020,11,628,2020W50
161,Arkansas,2020,12,637,2020W50
162,Arkansas,2020,13,640,2020W50
