,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1081,2020W52
1,Alabama,2020,2,1127,2020W52
2,Alabama,2020,3,1039,2020W52
3,Alabama,2020,4,1054,2020W52
4,Alabama,2020,5,1026,2020W52
5,Alabama,2020,6,1119,2020W52
6,Alabama,2020,7,1094,2020W52
7,Alabama,2020,8,1097,2020W52
8,Alabama,2020,9,1161,2020W52
9,Alabama,2020,10,1053,2020W52
10,Alabama,2020,11,1091,2020W52
11,Alabama,2020,12,1057,2020W52
12,Alabama,2020,13,1072,2020W52
13,Alabama,2020,14,1156,2020W52
14,Alabama,2020,15,1134,2020W52
15,Alabama,2020,16,1143,2020W52
16,Alabama,2020,17,1137,2020W52
17,Alabama,2020,18,1147,2020W52
18,Alabama,2020,19,1168,2020W52
19,Alabama,2020,20,1146,2020W52
20,Alabama,2020,21,1151,2020W52
21,Alabama,2020,22,1105,2020W52
22,Alabama,2020,23,1169,2020W52
23,Alabama,2020,24,1134,2020W52
24,Alabama,2020,25,1087,2020W52
25,Alabama,2020,26,1148,2020W52
26,Alabama,2020,27,1196,2020W52
27,Alabama,2020,28,1254,2020W52
28,Alabama,2020,29,1288,2020W52
29,Alabama,2020,30,1326,2020W52
30,Alabama,2020,31,1357,2020W52
31,Alabama,2020,32,1367,2020W52
32,Alabama,2020,33,1299,2020W52
33,Alabama,2020,34,1290,2020W52
34,Alabama,2020,35,1212,2020W52
35,Alabama,2020,36,1205,2020W52
36,Alabama,2020,37,1229,2020W52
37,Alabama,2020,38,1183,2020W52
38,Alabama,2020,39,1175,2020W52
39,Alabama,2020,40,1086,2020W52
40,Alabama,2020,41,1185,2020W52
41,Alabama,2020,42,1172,2020W52
42,Alabama,2020,43,1120,2020W52
43,Alabama,2020,44,1137,2020W52
44,Alabama,2020,45,1225,2020W52
45,Alabama,2020,46,1219,2020W52
46,Alabama,2020,47,1196,2020W52
47,Alabama,2020,48,1203,2020W52
48,Alabama,2020,49,1149,2020W52
49,Alabama,2020,50,1196,2020W52
50,Alabama,2020,51,806,2020W52
51,Alabama,2020,52,476,2020W52
52,Alaska,2020,1,89,2020W52
53,Alaska,2020,2,105,2020W52
54,Alaska,2020,3,99,2020W52
55,Alaska,2020,4,97,2020W52
56,Alaska,2020,5,85,2020W52
57,Alaska,2020,6,92,2020W52
58,Alaska,2020,7,89,2020W52
59,Alaska,2020,8,83,2020W52
60,Alaska,2020,9,84,2020W52
61,Alaska,2020,10,79,2020W52
62,Alaska,2020,11,92,2020W52
63,Alaska,2020,12,69,2020W52
64,Alaska,2020,13,85,2020W52
65,Alaska,2020,14,98,2020W52
66,Alaska,2020,15,84,2020W52
67,Alaska,2020,16,80,2020W52
68,Alaska,2020,17,61,2020W52
