,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1080,2020W42
1,Alabama,2020,2,1124,2020W42
2,Alabama,2020,3,1039,2020W42
3,Alabama,2020,4,1053,2020W42
4,Alabama,2020,5,1024,2020W42
5,Alabama,2020,6,1117,2020W42
6,Alabama,2020,7,1093,2020W42
7,Alabama,2020,8,1096,2020W42
8,Alabama,2020,9,1161,2020W42
9,Alabama,2020,10,1053,2020W42
10,Alabama,2020,11,1088,2020W42
11,Alabama,2020,12,1057,2020W42
12,Alabama,2020,13,1071,2020W42
13,Alabama,2020,14,1153,2020W42
14,Alabama,2020,15,1132,2020W42
15,Alabama,2020,16,1139,2020W42
16,Alabama,2020,17,1136,2020W42
17,Alabama,2020,18,1146,2020W42
18,Alabama,2020,19,1166,2020W42
19,Alabama,2020,20,1144,2020W42
20,Alabama,2020,21,1148,2020W42
21,Alabama,2020,22,1102,2020W42
22,Alabama,2020,23,1164,2020W42
23,Alabama,2020,24,1132,2020W42
24,Alabama,2020,25,1082,2020W42
25,Alabama,2020,26,1141,2020W42
26,Alabama,2020,27,1193,2020W42
27,Alabama,2020,28,1247,2020W42
28,Alabama,2020,29,1279,2020W42
29,Alabama,2020,30,1319,2020W42
30,Alabama,2020,31,1347,2020W42
31,Alabama,2020,32,1350,2020W42
32,Alabama,2020,33,1275,2020W42
33,Alabama,2020,34,1266,2020W42
34,Alabama,2020,35,1184,2020W42
35,Alabama,2020,36,1175,2020W42
36,Alabama,2020,37,1189,2020W42
37,Alabama,2020,38,1123,2020W42
38,Alabama,2020,39,1074,2020W42
39,Alabama,2020,40,963,2020W42
40,Alabama,2020,41,926,2020W42
41,Alabama,2020,42,693,2020W42
42,Alaska,2020,1,89,2020W42
43,Alaska,2020,2,105,2020W42
44,Alaska,2020,3,99,2020W42
45,Alaska,2020,4,97,2020W42
46,Alaska,2020,5,85,2020W42
47,Alaska,2020,6,92,2020W42
48,Alaska,2020,7,89,2020W42
49,Alaska,2020,8,83,2020W42
50,Alaska,2020,9,84,2020W42
51,Alaska,2020,10,79,2020W42
52,Alaska,2020,11,92,2020W42
53,Alaska,2020,12,69,2020W42
54,Alaska,2020,13,85,2020W42
55,Alaska,2020,14,98,2020W42
56,Alaska,2020,15,83,2020W42
57,Alaska,2020,16,80,2020W42
58,Alaska,2020,17,61,2020W42
59,Alaska,2020,18,86,2020W42
