,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1077,2020W35
1,Alabama,2020,2,1124,2020W35
2,Alabama,2020,3,1038,2020W35
3,Alabama,2020,4,1053,2020W35
4,Alabama,2020,5,1023,2020W35
5,Alabama,2020,6,1115,2020W35
6,Alabama,2020,7,1092,2020W35
7,Alabama,2020,8,1096,2020W35
8,Alabama,2020,9,1160,2020W35
9,Alabama,2020,10,1053,2020W35
10,Alabama,2020,11,1085,2020W35
11,Alabama,2020,12,1055,2020W35
12,Alabama,2020,13,1069,2020W35
13,Alabama,2020,14,1150,2020W35
14,Alabama,2020,15,1130,2020W35
15,Alabama,2020,16,1135,2020W35
16,Alabama,2020,17,1132,2020W35
17,Alabama,2020,18,1142,2020W35
18,Alabama,2020,19,1159,2020W35
19,Alabama,2020,20,1139,2020W35
20,Alabama,2020,21,1140,2020W35
21,Alabama,2020,22,1094,2020W35
22,Alabama,2020,23,1149,2020W35
23,Alabama,2020,24,1124,2020W35
24,Alabama,2020,25,1071,2020W35
25,Alabama,2020,26,1126,2020W35
26,Alabama,2020,27,1176,2020W35
27,Alabama,2020,28,1227,2020W35
28,Alabama,2020,29,1240,2020W35
29,Alabama,2020,30,1282,2020W35
30,Alabama,2020,31,1294,2020W35
31,Alabama,2020,32,1250,2020W35
32,Alabama,2020,33,1104,2020W35
33,Alabama,2020,34,965,2020W35
34,Alabama,2020,35,548,2020W35
35,Alaska,2020,1,89,2020W35
36,Alaska,2020,2,105,2020W35
37,Alaska,2020,3,99,2020W35
38,Alaska,2020,4,97,2020W35
39,Alaska,2020,5,85,2020W35
40,Alaska,2020,6,95,2020W35
41,Alaska,2020,7,89,2020W35
42,Alaska,2020,8,83,2020W35
43,Alaska,2020,9,84,2020W35
44,Alaska,2020,10,79,2020W35
45,Alaska,2020,11,92,2020W35
46,Alaska,2020,12,68,2020W35
47,Alaska,2020,13,86,2020W35
48,Alaska,2020,14,98,2020W35
49,Alaska,2020,15,83,2020W35
50,Alaska,2020,16,80,2020W35
51,Alaska,2020,17,61,2020W35
52,Alaska,2020,18,86,2020W35
53,Alaska,2020,19,88,2020W35
54,Alaska,2020,20,82,2020W35
55,Alaska,2020,21,80,2020W35
56,Alaska,2020,22,97,2020W35
57,Alaska,2020,23,77,2020W35
58,Alaska,2020,24,87,2020W35
59,Alaska,2020,25,88,2020W35
60,Alaska,2020,26,86,2020W35
61,Alaska,2020,27,81,2020W35
62,Alaska,2020,28,93,2020W35
63,Alaska,2020,29,79,2020W35
64,Alaska,2020,30,80,2020W35
65,Alaska,2020,31,100,2020W35
66,Alaska,2020,32,82,2020W35
67,Alaska,2020,33,51,2020W35
68,Alaska,2020,34,62,2020W35
69,Alaska,2020,35,25,2020W35
70,Arizona,2020,1,1299,2020W35
71,Arizona,2020,2,1390,2020W35
72,Arizona,2020,3,1315,2020W35
73,Arizona,2020,4,1275,2020W35
74,Arizona,2020,5,1264,2020W35
75,Arizona,2020,6,1263,2020W35
76,Arizona,2020,7,1310,2020W35
77,Arizona,2020,8,1340,2020W35
78,Arizona,2020,9,1352,2020W35
79,Arizona,2020,10,1378,2020W35
80,Arizona,2020,11,1349,2020W35
81,Arizona,2020,12,1287,2020W35
