,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1080,2020W44
1,Alabama,2020,2,1125,2020W44
2,Alabama,2020,3,1039,2020W44
3,Alabama,2020,4,1053,2020W44
4,Alabama,2020,5,1025,2020W44
5,Alabama,2020,6,1117,2020W44
6,Alabama,2020,7,1094,2020W44
7,Alabama,2020,8,1096,2020W44
8,Alabama,2020,9,1161,2020W44
9,Alabama,2020,10,1053,2020W44
10,Alabama,2020,11,1089,2020W44
11,Alabama,2020,12,1057,2020W44
12,Alabama,2020,13,1072,2020W44
13,Alabama,2020,14,1153,2020W44
14,Alabama,2020,15,1132,2020W44
15,Alabama,2020,16,1141,2020W44
16,Alabama,2020,17,1136,2020W44
17,Alabama,2020,18,1146,2020W44
18,Alabama,2020,19,1166,2020W44
19,Alabama,2020,20,1145,2020W44
20,Alabama,2020,21,1149,2020W44
21,Alabama,2020,22,1103,2020W44
22,Alabama,2020,23,1166,2020W44
23,Alabama,2020,24,1132,2020W44
24,Alabama,2020,25,1082,2020W44
25,Alabama,2020,26,1146,2020W44
26,Alabama,2020,27,1195,2020W44
27,Alabama,2020,28,1251,2020W44
28,Alabama,2020,29,1282,2020W44
29,Alabama,2020,30,1322,2020W44
30,Alabama,2020,31,1350,2020W44
31,Alabama,2020,32,1359,2020W44
32,Alabama,2020,33,1282,2020W44
33,Alabama,2020,34,1278,2020W44
34,Alabama,2020,35,1195,2020W44
35,Alabama,2020,36,1189,2020W44
36,Alabama,2020,37,1211,2020W44
37,Alabama,2020,38,1153,2020W44
38,Alabama,2020,39,1144,2020W44
39,Alabama,2020,40,1050,2020W44
40,Alabama,2020,41,1104,2020W44
41,Alabama,2020,42,1039,2020W44
42,Alabama,2020,43,908,2020W44
43,Alabama,2020,44,686,2020W44
44,Alaska,2020,1,89,2020W44
45,Alaska,2020,2,105,2020W44
46,Alaska,2020,3,99,2020W44
47,Alaska,2020,4,97,2020W44
48,Alaska,2020,5,85,2020W44
49,Alaska,2020,6,92,2020W44
50,Alaska,2020,7,89,2020W44
51,Alaska,2020,8,83,2020W44
52,Alaska,2020,9,84,2020W44
53,Alaska,2020,10,79,2020W44
54,Alaska,2020,11,92,2020W44
55,Alaska,2020,12,69,2020W44
56,Alaska,2020,13,85,2020W44
57,Alaska,2020,14,98,2020W44
58,Alaska,2020,15,83,2020W44
59,Alaska,2020,16,80,2020W44
