,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1080,2020W45
1,Alabama,2020,2,1125,2020W45
2,Alabama,2020,3,1039,2020W45
3,Alabama,2020,4,1053,2020W45
4,Alabama,2020,5,1025,2020W45
5,Alabama,2020,6,1117,2020W45
6,Alabama,2020,7,1094,2020W45
7,Alabama,2020,8,1096,2020W45
8,Alabama,2020,9,1161,2020W45
9,Alabama,2020,10,1053,2020W45
10,Alabama,2020,11,1090,2020W45
11,Alabama,2020,12,1057,2020W45
12,Alabama,2020,13,1072,2020W45
13,Alabama,2020,14,1153,2020W45
14,Alabama,2020,15,1132,2020W45
15,Alabama,2020,16,1141,2020W45
16,Alabama,2020,17,1137,2020W45
17,Alabama,2020,18,1146,2020W45
18,Alabama,2020,19,1166,2020W45
19,Alabama,2020,20,1146,2020W45
20,Alabama,2020,21,1149,2020W45
21,Alabama,2020,22,1105,2020W45
22,Alabama,2020,23,1166,2020W45
23,Alabama,2020,24,1133,2020W45
24,Alabama,2020,25,1083,2020W45
25,Alabama,2020,26,1146,2020W45
26,Alabama,2020,27,1195,2020W45
27,Alabama,2020,28,1251,2020W45
28,Alabama,2020,29,1283,2020W45
29,Alabama,2020,30,1322,2020W45
30,Alabama,2020,31,1353,2020W45
31,Alabama,2020,32,1360,2020W45
32,Alabama,2020,33,1289,2020W45
33,Alabama,2020,34,1283,2020W45
34,Alabama,2020,35,1198,2020W45
35,Alabama,2020,36,1194,2020W45
36,Alabama,2020,37,1216,2020W45
37,Alabama,2020,38,1161,2020W45
38,Alabama,2020,39,1151,2020W45
39,Alabama,2020,40,1062,2020W45
40,Alabama,2020,41,1133,2020W45
41,Alabama,2020,42,1094,2020W45
42,Alabama,2020,43,1012,2020W45
43,Alabama,2020,44,913,2020W45
44,Alabama,2020,45,703,2020W45
45,Alaska,2020,1,89,2020W45
46,Alaska,2020,2,105,2020W45
47,Alaska,2020,3,99,2020W45
48,Alaska,2020,4,97,2020W45
49,Alaska,2020,5,85,2020W45
50,Alaska,2020,6,92,2020W45
51,Alaska,2020,7,89,2020W45
52,Alaska,2020,8,83,2020W45
53,Alaska,2020,9,84,2020W45
54,Alaska,2020,10,79,2020W45
55,Alaska,2020,11,92,2020W45
56,Alaska,2020,12,69,2020W45
57,Alaska,2020,13,85,2020W45
58,Alaska,2020,14,98,2020W45
59,Alaska,2020,15,83,2020W45
60,Alaska,2020,16,80,2020W45
61,Alaska,2020,17,61,2020W45
62,Alaska,2020,18,87,2020W45
63,Alaska,2020,19,89,2020W45
64,Alaska,2020,20,83,2020W45
65,Alaska,2020,21,82,2020W45
66,Alaska,2020,22,97,2020W45
67,Alaska,2020,23,78,2020W45
68,Alaska,2020,24,88,2020W45
69,Alaska,2020,25,92,2020W45
70,Alaska,2020,26,88,2020W45
71,Alaska,2020,27,84,2020W45
72,Alaska,2020,28,100,2020W45
73,Alaska,2020,29,87,2020W45
74,Alaska,2020,30,92,2020W45
75,Alaska,2020,31,112,2020W45
76,Alaska,2020,32,100,2020W45
77,Alaska,2020,33,73,2020W45
78,Alaska,2020,34,111,2020W45
79,Alaska,2020,35,90,2020W45
80,Alaska,2020,36,96,2020W45
81,Alaska,2020,37,77,2020W45
82,Alaska,2020,38,92,2020W45
83,Alaska,2020,39,97,2020W45
84,Alaska,2020,40,60,2020W45
85,Alaska,2020,41,88,2020W45
86,Alaska,2020,42,77,2020W45
87,Alaska,2020,43,74,2020W45
88,Alaska,2020,44,44,2020W45
89,Alaska,2020,45,25,2020W45
90,Arizona,2020,1,1299,2020W45
91,Arizona,2020,2,1389,2020W45
92,Arizona,2020,3,1315,2020W45
93,Arizona,2020,4,1275,2020W45
94,Arizona,2020,5,1265,2020W45
95,Arizona,2020,6,1263,2020W45
96,Arizona,2020,7,1311,2020W45
97,Arizona,2020,8,1341,2020W45
98,Arizona,2020,9,1352,2020W45
99,Arizona,2020,10,1380,2020W45
100,Arizona,2020,11,1349,2020W45
101,Arizona,2020,12,1290,2020W45
102,Arizona,2020,13,1323,2020W45
103,Arizona,2020,14,1356,2020W45
104,Arizona,2020,15,1403,2020W45
105,Arizona,2020,16,1316,2020W45
106,Arizona,2020,17,1384,2020W45
107,Arizona,2020,18,1398,2020W45
108,Arizona,2020,19,1427,2020W45
109,Arizona,2020,20,1306,2020W45
110,Arizona,2020,21,1289,2020W45
111,Arizona,2020,22,1310,2020W45
112,Arizona,2020,23,1398,2020W45
113,Arizona,2020,24,1463,2020W45
114,Arizona,2020,25,1547,2020W45
115,Arizona,2020,26,1615,2020W45
116,Arizona,2020,27,1773,2020W45
117,Arizona,2020,28,1952,2020W45
118,Arizona,2020,29,1993,2020W45
119,Arizona,2020,30,1858,2020W45
120,Arizona,2020,31,1788,2020W45
121,Arizona,2020,32,1583,2020W45
122,Arizona,2020,33,1525,2020W45
123,Arizona,2020,34,1502,2020W45
124,Arizona,2020,35,1461,2020W45
125,Arizona,2020,36,1287,2020W45
126,Arizona,2020,37,1278,2020W45
127,Arizona,2020,38,1253,2020W45
128,Arizona,2020,39,1278,2020W45
129,Arizona,2020,40,1188,2020W45
130,Arizona,2020,41,1227,2020W45
131,Arizona,2020,42,1211,2020W45
132,Arizona,2020,43,1242,2020W45
133,Arizona,2020,44,1194,2020W45
134,Arizona,2020,45,991,2020W45
135,Arkansas,2020,1,672,2020W45
136,Arkansas,2020,2,685,2020W45
137,Arkansas,2020,3,658,2020W45
138,Arkansas,2020,4,616,2020W45
