,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1081,2020W51
1,Alabama,2020,2,1127,2020W51
2,Alabama,2020,3,1039,2020W51
3,Alabama,2020,4,1054,2020W51
4,Alabama,2020,5,1025,2020W51
5,Alabama,2020,6,1118,2020W51
6,Alabama,2020,7,1094,2020W51
7,Alabama,2020,8,1097,2020W51
8,Alabama,2020,9,1161,2020W51
9,Alabama,2020,10,1053,2020W51
10,Alabama,2020,11,1091,2020W51
11,Alabama,2020,12,1057,2020W51
12,Alabama,2020,13,1072,2020W51
13,Alabama,2020,14,1155,2020W51
14,Alabama,2020,15,1133,2020W51
15,Alabama,2020,16,1143,2020W51
16,Alabama,2020,17,1137,2020W51
17,Alabama,2020,18,1147,2020W51
18,Alabama,2020,19,1168,2020W51
19,Alabama,2020,20,1146,2020W51
20,Alabama,2020,21,1150,2020W51
21,Alabama,2020,22,1105,2020W51
22,Alabama,2020,23,1167,2020W51
23,Alabama,2020,24,1134,2020W51
24,Alabama,2020,25,1087,2020W51
25,Alabama,2020,26,1148,2020W51
26,Alabama,2020,27,1196,2020W51
27,Alabama,2020,28,1254,2020W51
28,Alabama,2020,29,1288,2020W51
29,Alabama,2020,30,1326,2020W51
30,Alabama,2020,31,1357,2020W51
31,Alabama,2020,32,1367,2020W51
32,Alabama,2020,33,1299,2020W51
33,Alabama,2020,34,1290,2020W51
34,Alabama,2020,35,1210,2020W51
35,Alabama,2020,36,1205,2020W51
36,Alabama,2020,37,1226,2020W51
37,Alabama,2020,38,1181,2020W51
38,Alabama,2020,39,1174,2020W51
39,Alabama,2020,40,1084,2020W51
40,Alabama,2020,41,1183,2020W51
41,Alabama,2020,42,1170,2020W51
42,Alabama,2020,43,1117,2020W51
43,Alabama,2020,44,1135,2020W51
44,Alabama,2020,45,1220,2020W51
45,Alabama,2020,46,1207,2020W51
46,Alabama,2020,47,1174,2020W51
47,Alabama,2020,48,1164,2020W51
48,Alabama,2020,49,1088,2020W51
49,Alabama,2020,50,997,2020W51
50,Alabama,2020,51,535,2020W51
51,Alaska,2020,1,89,2020W51
52,Alaska,2020,2,105,2020W51
53,Alaska,2020,3,99,2020W51
54,Alaska,2020,4,97,2020W51
55,Alaska,2020,5,85,2020W51
56,Alaska,2020,6,92,2020W51
57,Alaska,2020,7,89,2020W51
58,Alaska,2020,8,83,2020W51
59,Alaska,2020,9,84,2020W51
60,Alaska,2020,10,79,2020W51
61,Alaska,2020,11,92,2020W51
62,Alaska,2020,12,69,2020W51
63,Alaska,2020,13,85,2020W51
64,Alaska,2020,14,98,2020W51
65,Alaska,2020,15,83,2020W51
66,Alaska,2020,16,80,2020W51
67,Alaska,2020,17,61,2020W51
68,Alaska,2020,18,87,2020W51
69,Alaska,2020,19,89,2020W51
70,Alaska,2020,20,83,2020W51
71,Alaska,2020,21,82,2020W51
72,Alaska,2020,22,97,2020W51
73,Alaska,2020,23,78,2020W51
74,Alaska,2020,24,88,2020W51
75,Alaska,2020,25,92,2020W51
76,Alaska,2020,26,88,2020W51
77,Alaska,2020,27,84,2020W51
78,Alaska,2020,28,100,2020W51
79,Alaska,2020,29,88,2020W51
80,Alaska,2020,30,92,2020W51
81,Alaska,2020,31,112,2020W51
82,Alaska,2020,32,101,2020W51
83,Alaska,2020,33,74,2020W51
84,Alaska,2020,34,114,2020W51
85,Alaska,2020,35,93,2020W51
86,Alaska,2020,36,104,2020W51
87,Alaska,2020,37,86,2020W51
88,Alaska,2020,38,103,2020W51
89,Alaska,2020,39,110,2020W51
90,Alaska,2020,40,73,2020W51
91,Alaska,2020,41,107,2020W51
92,Alaska,2020,42,94,2020W51
93,Alaska,2020,43,97,2020W51
94,Alaska,2020,44,100,2020W51
95,Alaska,2020,45,91,2020W51
96,Alaska,2020,46,86,2020W51
97,Alaska,2020,47,91,2020W51
98,Alaska,2020,48,79,2020W51
99,Alaska,2020,49,47,2020W51
100,Alaska,2020,50,43,2020W51
101,Alaska,2020,51,17,2020W51
102,Arizona,2020,1,1301,2020W51
103,Arizona,2020,2,1390,2020W51
104,Arizona,2020,3,1315,2020W51
105,Arizona,2020,4,1275,2020W51
106,Arizona,2020,5,1265,2020W51
107,Arizona,2020,6,1264,2020W51
108,Arizona,2020,7,1312,2020W51
109,Arizona,2020,8,1342,2020W51
110,Arizona,2020,9,1352,2020W51
111,Arizona,2020,10,1380,2020W51
112,Arizona,2020,11,1349,2020W51
113,Arizona,2020,12,1290,2020W51
114,Arizona,2020,13,1324,2020W51
115,Arizona,2020,14,1356,2020W51
116,Arizona,2020,15,1403,2020W51
117,Arizona,2020,16,1316,2020W51
