,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1080,2020W46
1,Alabama,2020,2,1126,2020W46
2,Alabama,2020,3,1039,2020W46
3,Alabama,2020,4,1053,2020W46
4,Alabama,2020,5,1025,2020W46
5,Alabama,2020,6,1117,2020W46
6,Alabama,2020,7,1094,2020W46
7,Alabama,2020,8,1097,2020W46
8,Alabama,2020,9,1161,2020W46
9,Alabama,2020,10,1053,2020W46
10,Alabama,2020,11,1090,2020W46
11,Alabama,2020,12,1057,2020W46
12,Alabama,2020,13,1072,2020W46
13,Alabama,2020,14,1153,2020W46
14,Alabama,2020,15,1133,2020W46
15,Alabama,2020,16,1141,2020W46
16,Alabama,2020,17,1137,2020W46
17,Alabama,2020,18,1147,2020W46
18,Alabama,2020,19,1167,2020W46
19,Alabama,2020,20,1146,2020W46
20,Alabama,2020,21,1150,2020W46
21,Alabama,2020,22,1105,2020W46
22,Alabama,2020,23,1166,2020W46
23,Alabama,2020,24,1134,2020W46
24,Alabama,2020,25,1083,2020W46
25,Alabama,2020,26,1148,2020W46
26,Alabama,2020,27,1196,2020W46
27,Alabama,2020,28,1251,2020W46
28,Alabama,2020,29,1284,2020W46
29,Alabama,2020,30,1325,2020W46
30,Alabama,2020,31,1355,2020W46
31,Alabama,2020,32,1363,2020W46
32,Alabama,2020,33,1292,2020W46
33,Alabama,2020,34,1284,2020W46
34,Alabama,2020,35,1199,2020W46
35,Alabama,2020,36,1198,2020W46
36,Alabama,2020,37,1219,2020W46
37,Alabama,2020,38,1166,2020W46
38,Alabama,2020,39,1156,2020W46
39,Alabama,2020,40,1073,2020W46
40,Alabama,2020,41,1154,2020W46
41,Alabama,2020,42,1123,2020W46
42,Alabama,2020,43,1064,2020W46
43,Alabama,2020,44,1009,2020W46
44,Alabama,2020,45,935,2020W46
45,Alabama,2020,46,719,2020W46
46,Alaska,2020,1,89,2020W46
47,Alaska,2020,2,105,2020W46
48,Alaska,2020,3,99,2020W46
49,Alaska,2020,4,97,2020W46
50,Alaska,2020,5,85,2020W46
51,Alaska,2020,6,92,2020W46
52,Alaska,2020,7,89,2020W46
53,Alaska,2020,8,83,2020W46
54,Alaska,2020,9,84,2020W46
55,Alaska,2020,10,79,2020W46
56,Alaska,2020,11,92,2020W46
57,Alaska,2020,12,69,2020W46
58,Alaska,2020,13,85,2020W46
59,Alaska,2020,14,98,2020W46
60,Alaska,2020,15,83,2020W46
61,Alaska,2020,16,80,2020W46
62,Alaska,2020,17,61,2020W46
63,Alaska,2020,18,87,2020W46
64,Alaska,2020,19,89,2020W46
65,Alaska,2020,20,83,2020W46
66,Alaska,2020,21,82,2020W46
