,jurisdiction,year,week,number_of_deaths,last_week
0,Alabama,2020,1,1080,2020W47
1,Alabama,2020,2,1126,2020W47
2,Alabama,2020,3,1039,2020W47
3,Alabama,2020,4,1053,2020W47
4,Alabama,2020,5,1025,2020W47
5,Alabama,2020,6,1117,2020W47
6,Alabama,2020,7,1094,2020W47
7,Alabama,2020,8,1097,2020W47
8,Alabama,2020,9,1161,2020W47
9,Alabama,2020,10,1053,2020W47
10,Alabama,2020,11,1091,2020W47
11,Alabama,2020,12,1057,2020W47
12,Alabama,2020,13,1072,2020W47
13,Alabama,2020,14,1153,2020W47
14,Alabama,2020,15,1133,2020W47
15,Alabama,2020,16,1141,2020W47
16,Alabama,2020,17,1137,2020W47
17,Alabama,2020,18,1147,2020W47
18,Alabama,2020,19,1168,2020W47
19,Alabama,2020,20,1146,2020W47
20,Alabama,2020,21,1150,2020W47
21,Alabama,2020,22,1105,2020W47
22,Alabama,2020,23,1166,2020W47
23,Alabama,2020,24,1134,2020W47
24,Alabama,2020,25,1085,2020W47
25,Alabama,2020,26,1148,2020W47
26,Alabama,2020,27,1196,2020W47
27,Alabama,2020,28,1252,2020W47
28,Alabama,2020,29,1285,2020W47
29,Alabama,2020,30,1325,2020W47
30,Alabama,2020,31,1355,2020W47
31,Alabama,2020,32,1363,2020W47
32,Alabama,2020,33,1293,2020W47
33,Alabama,2020,34,1289,2020W47
34,Alabama,2020,35,1201,2020W47
35,Alabama,2020,36,1203,2020W47
36,Alabama,2020,37,1220,2020W47
37,Alabama,2020,38,1167,2020W47
38,Alabama,2020,39,1162,2020W47
39,Alabama,2020,40,1078,2020W47
40,Alabama,2020,41,1166,2020W47
41,Alabama,2020,42,1138,2020W47
42,Alabama,2020,43,1082,2020W47
43,Alabama,2020,44,1055,2020W47
44,Alabama,2020,45,1056,2020W47
45,Alabama,2020,46,961,2020W47
46,Alabama,2020,47,638,2020W47
47,Alaska,2020,1,89,2020W47
48,Alaska,2020,2,105,2020W47
49,Alaska,2020,3,99,2020W47
50,Alaska,2020,4,97,2020W47
51,Alaska,2020,5,85,2020W47
52,Alaska,2020,6,92,2020W47
53,Alaska,2020,7,89,2020W47
54,Alaska,2020,8,83,2020W47
55,Alaska,2020,9,84,2020W47
56,Alaska,2020,10,79,2020W47
57,Alaska,2020,11,92,2020W47
58,Alaska,2020,12,69,2020W47
59,Alaska,2020,13,85,2020W47
60,Alaska,2020,14,98,2020W47
61,Alaska,2020,15,83,2020W47
62,Alaska,2020,16,80,2020W47
63,Alaska,2020,17,61,2020W47
64,Alaska,2020,18,87,2020W47
65,Alaska,2020,19,89,2020W47
66,Alaska,2020,20,83,2020W47
67,Alaska,2020,21,82,2020W47
68,Alaska,2020,22,97,2020W47
69,Alaska,2020,23,78,2020W47
70,Alaska,2020,24,88,2020W47
71,Alaska,2020,25,92,2020W47
72,Alaska,2020,26,88,2020W47
73,Alaska,2020,27,84,2020W47
74,Alaska,2020,28,100,2020W47
75,Alaska,2020,29,88,2020W47
76,Alaska,2020,30,92,2020W47
77,Alaska,2020,31,112,2020W47
78,Alaska,2020,32,100,2020W47
79,Alaska,2020,33,74,2020W47
80,Alaska,2020,34,112,2020W47
81,Alaska,2020,35,91,2020W47
82,Alaska,2020,36,101,2020W47
83,Alaska,2020,37,83,2020W47
84,Alaska,2020,38,100,2020W47
85,Alaska,2020,39,107,2020W47
86,Alaska,2020,40,65,2020W47
87,Alaska,2020,41,96,2020W47
88,Alaska,2020,42,85,2020W47
89,Alaska,2020,43,88,2020W47
90,Alaska,2020,44,77,2020W47
91,Alaska,2020,45,61,2020W47
92,Alaska,2020,46,50,2020W47
93,Alaska,2020,47,32,2020W47
94,Arizona,2020,1,1299,2020W47
95,Arizona,2020,2,1390,2020W47
96,Arizona,2020,3,1315,2020W47
97,Arizona,2020,4,1275,2020W47
98,Arizona,2020,5,1265,2020W47
99,Arizona,2020,6,1263,2020W47
100,Arizona,2020,7,1311,2020W47
101,Arizona,2020,8,1341,2020W47
102,Arizona,2020,9,1352,2020W47
103,Arizona,2020,10,1380,2020W47
104,Arizona,2020,11,1349,2020W47
105,Arizona,2020,12,1290,2020W47
106,Arizona,2020,13,1323,2020W47
107,Arizona,2020,14,1356,2020W47
108,Arizona,2020,15,1403,2020W47
109,Arizona,2020,16,1316,2020W47
110,Arizona,2020,17,1384,2020W47
111,Arizona,2020,18,1398,2020W47
112,Arizona,2020,19,1427,2020W47
113,Arizona,2020,20,1306,2020W47
114,Arizona,2020,21,1289,2020W47
115,Arizona,2020,22,1310,2020W47
116,Arizona,2020,23,1398,2020W47
117,Arizona,2020,24,1463,2020W47
118,Arizona,2020,25,1547,2020W47
119,Arizona,2020,26,1615,2020W47
120,Arizona,2020,27,1773,2020W47
121,Arizona,2020,28,1952,2020W47
122,Arizona,2020,29,1993,2020W47
123,Arizona,2020,30,1858,2020W47
124,Arizona,2020,31,1790,2020W47
125,Arizona,2020,32,1584,2020W47
126,Arizona,2020,33,1525,2020W47
127,Arizona,2020,34,1501,2020W47
128,Arizona,2020,35,1459,2020W47
129,Arizona,2020,36,1286,2020W47
130,Arizona,2020,37,1276,2020W47
131,Arizona,2020,38,1253,2020W47
132,Arizona,2020,39,1280,2020W47
133,Arizona,2020,40,1194,2020W47
134,Arizona,2020,41,1235,2020W47
135,Arizona,2020,42,1223,2020W47
136,Arizona,2020,43,1271,2020W47
137,Arizona,2020,44,1292,2020W47
138,Arizona,2020,45,1345,2020W47
139,Arizona,2020,46,1132,2020W47
140,Arizona,2020,47,1023,2020W47
141,Arkansas,2020,1,672,2020W47
142,Arkansas,2020,2,685,2020W47
143,Arkansas,2020,3,658,2020W47
144,Arkansas,2020,4,616,2020W47
145,Arkansas,2020,5,681,2020W47
146,Arkansas,2020,6,673,2020W47
147,Arkansas,2020,7,688,2020W47
148,Arkansas,2020,8,695,2020W47
149,Arkansas,2020,9,656,2020W47
150,Arkansas,2020,10,696,2020W47
151,Arkansas,2020,11,628,2020W47
152,Arkansas,2020,12,637,2020W47
153,Arkansas,2020,13,640,2020W47
154,Arkansas,2020,14,606,2020W47
155,Arkansas,2020,15,635,2020W47
156,Arkansas,2020,16,637,2020W47
157,Arkansas,2020,17,614,2020W47
158,Arkansas,2020,18,630,2020W47
159,Arkansas,2020,19,661,2020W47
160,Arkansas,2020,20,582,2020W47
161,Arkansas,2020,21,642,2020W47
162,Arkansas,2020,22,610,2020W47
163,Arkansas,2020,23,647,2020W47
164,Arkansas,2020,24,651,2020W47
165,Arkansas,2020,25,705,2020W47
166,Arkansas,2020,26,663,2020W47
167,Arkansas,2020,27,685,2020W47
168,Arkansas,2020,28,660,2020W47
169,Arkansas,2020,29,694,2020W47
170,Arkansas,2020,30,713,2020W47
171,Arkansas,2020,31,743,2020W47
172,Arkansas,2020,32,733,2020W47
173,Arkansas,2020,33,764,2020W47
174,Arkansas,2020,34,747,2020W47
175,Arkansas,2020,35,738,2020W47
176,Arkansas,2020,36,710,2020W47
177,Arkansas,2020,37,718,2020W47
178,Arkansas,2020,38,733,2020W47
179,Arkansas,2020,39,743,2020W47
180,Arkansas,2020,40,779,2020W47
181,Arkansas,2020,41,777,2020W47
182,Arkansas,2020,42,764,2020W47
183,Arkansas,2020,43,769,2020W47
184,Arkansas,2020,44,760,2020W47
185,Arkansas,2020,45,797,2020W47
186,Arkansas,2020,46,773,2020W47
187,Arkansas,2020,47,554,2020W47
188,California,2020,1,5888,2020W47
189,California,2020,2,5873,2020W47
190,California,2020,3,5830,2020W47
191,California,2020,4,5828,2020W47
192,California,2020,5,5685,2020W47
193,California,2020,6,5913,2020W47
194,California,2020,7,5584,2020W47
195,California,2020,8,5797,2020W47
196,California,2020,9,5680,2020W47
197,California,2020,10,5732,2020W47
198,California,2020,11,5461,2020W47
199,California,2020,12,5678,2020W47
200,California,2020,13,5687,2020W47
201,California,2020,14,5982,2020W47
202,California,2020,15,6046,2020W47
203,California,2020,16,6127,2020W47
204,California,2020,17,5937,2020W47
205,California,2020,18,5739,2020W47
206,California,2020,19,5668,2020W47
207,California,2020,20,5688,2020W47
208,California,2020,21,5528,2020W47
209,California,2020,22,5590,2020W47
210,California,2020,23,5513,2020W47
211,California,2020,24,5561,2020W47
212,California,2020,25,5482,2020W47
213,California,2020,26,5688,2020W47
214,California,2020,27,5892,2020W47
215,California,2020,28,6029,2020W47
216,California,2020,29,6224,2020W47
217,California,2020,30,6235,2020W47
218,California,2020,31,6324,2020W47
219,California,2020,32,6285,2020W47
220,California,2020,33,6270,2020W47
221,California,2020,34,6459,2020W47
222,California,2020,35,5856,2020W47
223,California,2020,36,5758,2020W47
224,California,2020,37,5851,2020W47
225,California,2020,38,5722,2020W47
226,California,2020,39,5530,2020W47
227,California,2020,40,5621,2020W47
228,California,2020,41,5521,2020W47
229,California,2020,42,5535,2020W47
230,California,2020,43,5240,2020W47
231,California,2020,44,5380,2020W47
232,California,2020,45,5587,2020W47
233,California,2020,46,5250,2020W47
234,California,2020,47,3840,2020W47
235,Colorado,2020,1,854,2020W47
236,Colorado,2020,2,872,2020W47
237,Colorado,2020,3,848,2020W47
238,Colorado,2020,4,853,2020W47
239,Colorado,2020,5,793,2020W47
240,Colorado,2020,6,846,2020W47
241,Colorado,2020,7,807,2020W47
242,Colorado,2020,8,880,2020W47
243,Colorado,2020,9,842,2020W47
244,Colorado,2020,10,821,2020W47
245,Colorado,2020,11,822,2020W47
246,Colorado,2020,12,891,2020W47
247,Colorado,2020,13,860,2020W47
248,Colorado,2020,14,967,2020W47
249,Colorado,2020,15,1096,2020W47
250,Colorado,2020,16,1106,2020W47
251,Colorado,2020,17,1066,2020W47
252,Colorado,2020,18,997,2020W47
253,Colorado,2020,19,905,2020W47
254,Colorado,2020,20,883,2020W47
255,Colorado,2020,21,847,2020W47
256,Colorado,2020,22,833,2020W47
257,Colorado,2020,23,820,2020W47
258,Colorado,2020,24,814,2020W47
259,Colorado,2020,25,860,2020W47
260,Colorado,2020,26,876,2020W47
261,Colorado,2020,27,787,2020W47
262,Colorado,2020,28,815,2020W47
263,Colorado,2020,29,808,2020W47
264,Colorado,2020,30,832,2020W47
265,Colorado,2020,31,812,2020W47
266,Colorado,2020,32,840,2020W47
267,Colorado,2020,33,832,2020W47
268,Colorado,2020,34,860,2020W47
269,Colorado,2020,35,815,2020W47
270,Colorado,2020,36,740,2020W47
271,Colorado,2020,37,848,2020W47
272,Colorado,2020,38,802,2020W47
273,Colorado,2020,39,836,2020W47
274,Colorado,2020,40,776,2020W47
275,Colorado,2020,41,795,2020W47
276,Colorado,2020,42,863,2020W47
277,Colorado,2020,43,859,2020W47
278,Colorado,2020,44,885,2020W47
279,Colorado,2020,45,949,2020W47
280,Colorado,2020,46,939,2020W47
281,Colorado,2020,47,685,2020W47
282,Connecticut,2020,1,632,2020W47
283,Connecticut,2020,2,629,2020W47
284,Connecticut,2020,3,638,2020W47
285,Connecticut,2020,4,652,2020W47
286,Connecticut,2020,5,680,2020W47
287,Connecticut,2020,6,647,2020W47
288,Connecticut,2020,7,632,2020W47
289,Connecticut,2020,8,647,2020W47
290,Connecticut,2020,9,632,2020W47
291,Connecticut,2020,10,621,2020W47
292,Connecticut,2020,11,626,2020W47
293,Connecticut,2020,12,660,2020W47
294,Connecticut,2020,13,736,2020W47
295,Connecticut,2020,14,880,2020W47
296,Connecticut,2020,15,1254,2020W47
297,Connecticut,2020,16,1379,2020W47
298,Connecticut,2020,17,1334,2020W47
299,Connecticut,2020,18,1166,2020W47
300,Connecticut,2020,19,1051,2020W47
301,Connecticut,2020,20,945,2020W47
302,Connecticut,2020,21,814,2020W47
303,Connecticut,2020,22,750,2020W47
304,Connecticut,2020,23,659,2020W47
305,Connecticut,2020,24,628,2020W47
306,Connecticut,2020,25,572,2020W47
307,Connecticut,2020,26,590,2020W47
308,Connecticut,2020,27,544,2020W47
309,Connecticut,2020,28,602,2020W47
310,Connecticut,2020,29,558,2020W47
311,Connecticut,2020,30,580,2020W47
312,Connecticut,2020,31,544,2020W47
313,Connecticut,2020,32,584,2020W47
314,Connecticut,2020,33,563,2020W47
315,Connecticut,2020,34,555,2020W47
316,Connecticut,2020,35,521,2020W47
317,Connecticut,2020,36,553,2020W47
318,Connecticut,2020,37,560,2020W47
319,Connecticut,2020,38,566,2020W47
320,Connecticut,2020,39,631,2020W47
321,Connecticut,2020,40,584,2020W47
322,Connecticut,2020,41,581,2020W47
323,Connecticut,2020,42,503,2020W47
324,Connecticut,2020,43,526,2020W47
325,Connecticut,2020,44,410,2020W47
326,Connecticut,2020,45,76,2020W47
327,Connecticut,2020,46,57,2020W47
328,Connecticut,2020,47,20,2020W47
329,Delaware,2020,1,199,2020W47
330,Delaware,2020,2,194,2020W47
331,Delaware,2020,3,190,2020W47
332,Delaware,2020,4,190,2020W47
333,Delaware,2020,5,183,2020W47
334,Delaware,2020,6,191,2020W47
335,Delaware,2020,7,202,2020W47
336,Delaware,2020,8,194,2020W47
337,Delaware,2020,9,164,2020W47
338,Delaware,2020,10,200,2020W47
339,Delaware,2020,11,189,2020W47
340,Delaware,2020,12,221,2020W47
341,Delaware,2020,13,188,2020W47
342,Delaware,2020,14,215,2020W47
343,Delaware,2020,15,219,2020W47
344,Delaware,2020,16,227,2020W47
345,Delaware,2020,17,285,2020W47
346,Delaware,2020,18,251,2020W47
347,Delaware,2020,19,270,2020W47
348,Delaware,2020,20,276,2020W47
349,Delaware,2020,21,222,2020W47
350,Delaware,2020,22,226,2020W47
351,Delaware,2020,23,181,2020W47
352,Delaware,2020,24,199,2020W47
353,Delaware,2020,25,161,2020W47
354,Delaware,2020,26,199,2020W47
355,Delaware,2020,27,201,2020W47
356,Delaware,2020,28,194,2020W47
